alpha_repool,n_days,n_repooled,n_reused,pct_reused
0.001,30,15,15,50.0
0.005,30,14,16,53.333333333333336
0.01,30,14,16,53.333333333333336
0.02,30,14,16,53.333333333333336
0.03,30,14,16,53.333333333333336
0.05,30,14,16,53.333333333333336
