alpha_repool,n_days,n_repooled,n_reused,pct_reused
0.001,30,22,8,26.666666666666668
0.005,30,20,10,33.333333333333336
0.01,30,19,11,36.666666666666664
0.02,30,18,12,40.0
0.03,30,18,12,40.0
0.05,30,18,12,40.0
