date,qoe_tk_per_kwh,c7_binding,consumer,substation,slot,action,value,private_tk_per_kwh,system_tk_per_kwh,discomfort_tk_per_kwh,margin,pi_i_t,kappa,lambda_h,y_max_h,at_cap,lambda_star,energy_kwh,clock,pi_off
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,1,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,12.280401722423184,00:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,3,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,208.69602459614046,01:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,5,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,194.92874560968687,02:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,6,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,194.26505741921562,03:00,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,11,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,12.085750040106031,05:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,12,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,26.662134669157837,06:00,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,13,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,9.934993504849015,06:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,15,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,9.934993504849015,07:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,16,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,22.830815580573432,08:00,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,17,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,13.039246956501833,08:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,20,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,240.46083641204203,10:00,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,21,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,13.512081628279718,10:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,22,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,14.406298101307438,11:00,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,24,curtail,0.3119555458177067,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,False,0.29875524403131165,248.59548921947433,12:00,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,31,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,23.670336208390896,15:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,33,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,13.600285529909359,16:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,37,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,236.95182138897687,18:30,
2026-06-30,5.817487822846409,True,DHNC0001,Dhanmondi,44,curtail,0.336160097220683,7.326570027036004,8.956695693989442,10.465777898179038,-3.552713678800501e-15,8.39,1.067544182835452,0.48811259340679575,0.336160097220683,True,0.29875524403131165,242.22576896002766,22:00,
