date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-07-07,58771656.155139014,30972669.48435019,27798986.67078883,2257720.99103232,12000.0,0.0,18960279.114761166,0.0,12012390.369589023,1906667.4362623144,9000.0,0.0,16010439.790240819,0.0,11788546.88054801,0.0,0.0,8000.0,6000.0,1.2188783059094057,0.9875359049927387,1.1439646705282354,0.9547306646574621,4.3655745685100555e-11,358,0
2026-07-08,59638548.13564732,31845747.906224936,27792800.229422383,2358513.540689773,0.0,0.0,19787928.606387198,0.0,12057819.299837738,1888189.110175323,0.0,0.0,15841906.63437096,0.0,11950893.595051425,0.0,0.0,8000.0,6000.0,1.2665378816436261,0.9628297428932134,1.191583718147283,0.9319045777009404,2.9103830456733704e-11,340,0
2026-07-09,59044966.470955685,31503414.01125471,27541552.45970098,2310935.7688739635,0.0,0.0,19388751.100852557,0.0,12114662.910402153,1853917.0067727887,0.0,0.0,15554363.686823698,0.0,11987188.772877282,0.0,0.0,8000.0,6000.0,1.2373690229249916,0.9411986556252825,1.1679939745575394,0.9127016791502157,2.9103830456733704e-11,334,0
2026-07-10,56010564.24606538,28786691.409063607,27223872.83700177,1967504.269464736,0.0,0.0,16507360.820809137,0.0,12279330.58825447,1815870.816331577,0.0,0.0,15235156.149021933,0.0,11988716.68797984,0.0,0.0,8000.0,6000.0,1.0416753881580576,0.9204326689716422,0.9841779170860374,0.8931837943291567,2.9103830456733704e-11,303,0
2026-07-11,58065575.116171226,30649152.60641657,27416422.509754658,2209273.8974954295,0.0,0.0,18535807.999986656,0.0,12113344.606429914,1835116.8894620019,0.0,0.0,15396630.702586196,0.0,12019791.80716846,0.0,0.0,8000.0,6000.0,1.176742233267392,0.9291723495991754,1.1152209607637877,0.9029664030248089,2.9103830456733704e-11,326,0
2026-07-12,60624991.69266807,33093081.860376783,27531909.83229129,2488719.667534207,0.0,0.0,20880358.010612,0.0,12212723.849764783,1847065.6845851291,0.0,0.0,15496881.093669234,0.0,12035028.738622054,0.0,0.0,8000.0,6000.0,1.3299916257258249,0.9345489443055758,1.2616678472106742,0.9088359682422003,2.9103830456733704e-11,340,0
2026-07-13,59968321.91598697,32409203.540105917,27559118.375881057,2405847.10045836,0.0,0.0,20185057.17284564,0.0,12224146.367260277,1848297.254251631,0.0,0.0,15507213.963171184,0.0,12051904.412709873,0.0,0.0,8000.0,6000.0,1.2833804933491075,0.9340581075740136,1.2196165651593922,0.9092707508508959,2.9103830456733704e-11,338,0
