date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-14,56709629.351770505,28699791.355405692,28009837.99636481,1984701.7780409027,12000.0,0.0,16669647.917763175,0.0,12030143.437642517,1937546.2152025118,9000.0,0.0,16269512.745549075,0.0,11740325.250815732,0.0,0.0,8000.0,6000.0,0.9839735821785526,0.933268070690634,0.9421245421245421,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,99,686
2026-06-15,57447432.63254636,29490566.593581453,27956866.038964905,2046383.0088993348,0.0,0.0,17169153.44466542,0.0,12321413.14891603,1903327.686966545,0.0,0.0,15968919.293649314,0.0,11987946.745315589,0.0,0.0,8000.0,6000.0,0.990058262751697,0.8980968995964964,0.9743589743589743,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,100,684
2026-06-16,53894748.3680367,25684388.37765252,28210359.990384184,1607674.5400311411,0.0,0.0,13488389.390861275,0.0,12195998.986791244,1944560.700612738,0.0,0.0,16314864.278140873,0.0,11895495.712243311,0.0,0.0,8000.0,6000.0,0.7829517956139519,0.9237101266056562,0.7765567765567766,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,99,685
2026-06-17,58209341.006339,29702790.510400496,28506550.4959385,2064964.7827108123,0.0,0.0,17325054.526943717,0.0,12377735.98345678,1980998.779085964,0.0,0.0,16620579.756531239,0.0,11885970.73940726,0.0,0.0,8000.0,6000.0,0.9950348768872176,0.9396239785823317,0.9772893772893773,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,114,667
2026-06-18,56231524.20140627,28776642.575940855,27454881.62546542,1972865.135926188,0.0,0.0,16552338.490420718,0.0,12224304.085520135,1853716.9759977434,0.0,0.0,15552685.428621069,0.0,11902196.19684435,0.0,0.0,8000.0,6000.0,0.9610850860145514,0.8800652977744716,0.945054945054945,0.8695652173913043,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,100,683
2026-06-19,50042419.9888592,23432649.931296773,26609770.057562426,1394533.6726709232,0.0,0.0,11700137.513709046,0.0,11732512.41758773,1802226.7135544475,0.0,0.0,15120682.126721816,0.0,11489087.930840608,0.0,0.0,8000.0,6000.0,0.6980437668395768,0.8765893435852959,0.6593406593406593,0.8478260869565217,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,98,685
2026-06-20,55505212.94597472,26924707.11034134,28580505.835633382,1702742.3734019385,0.0,0.0,14286008.512842264,0.0,12638698.597499078,1970537.568339534,0.0,0.0,16532810.198368693,0.0,12047695.637264688,0.0,0.0,8000.0,6000.0,0.8096573106701263,0.9240403340180752,0.8205128205128205,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,115,666
2026-06-21,58489981.37648011,30135865.21539121,28354116.1610889,2112729.648851494,0.0,0.0,17725801.753864035,0.0,12410063.461527174,1944215.5480389546,0.0,0.0,16311968.44804683,0.0,12042147.713042067,0.0,0.0,8000.0,6000.0,1.017464726330321,0.9138456698239537,1.0285714285714285,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,101,683
2026-06-22,56207873.227710575,28476814.74062887,27731058.487081707,1952550.276892182,0.0,0.0,16381896.823125407,0.0,12094917.917503463,1899459.9437270812,0.0,0.0,15936468.927870212,0.0,11794589.559211494,0.0,0.0,8000.0,6000.0,0.957906092564557,0.9074357342586847,0.9282051282051282,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,99,685
2026-06-23,55471314.97784612,26553593.07147166,28917721.906374462,1680367.3136707102,0.0,0.0,14098281.761697259,0.0,12455311.309774404,2024356.8567361662,0.0,0.0,16984354.028016437,0.0,11933367.878358025,0.0,0.0,8000.0,6000.0,0.8067327871742036,0.9571121161420331,0.8095238095238095,0.9565217391304348,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,115,666
2026-06-24,58100638.63800349,29321245.746792767,28779392.891210724,2031012.154727111,0.0,0.0,17040191.978160463,0.0,12281053.768632304,2023646.805321047,0.0,0.0,16978396.696643587,0.0,11800996.194567136,0.0,0.0,8000.0,6000.0,0.9854083393737474,0.9657294952313036,0.967032967032967,0.9565217391304348,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,114,667
