date,qoe_tk_per_kwh,c7_binding,ir_tk_per_kwh,ir_binding,consumer,substation,slot,action,value,private_tk_per_kwh,system_tk_per_kwh,discomfort_tk_per_kwh,margin,pi_i_t,kappa,lambda_h,y_max_h,at_cap,price_tau_tk_per_kwh,lambda_star,energy_kwh,clock,pi_off,price_off_mean_tk_per_kwh
2026-06-14,0.0,False,0.0,False,DHNC0001,Dhanmondi,24,curtail,0.336160097220683,8.468753495607906,8.255538354478057,10.465777898179038,6.258513951906924,8.39,0.9839735821785526,0.48811259340679575,0.336160097220683,True,17.35,0.32252359071017067,331.2893787853478,12:00,,
2026-06-14,0.0,False,0.0,False,DHNC0001,Dhanmondi,26,curtail,0.336160097220683,8.468753495607906,8.255538354478057,10.465777898179038,6.258513951906924,8.39,0.9839735821785526,0.48811259340679575,0.336160097220683,True,17.35,0.32252359071017067,342.89985497758147,13:00,,
2026-06-14,0.0,False,0.0,False,DHNC0001,Dhanmondi,27,curtail,0.336160097220683,8.468753495607906,8.255538354478057,10.465777898179038,6.258513951906924,8.39,0.9839735821785526,0.48811259340679575,0.336160097220683,True,17.35,0.32252359071017067,304.53707089463404,13:30,,
2026-06-14,0.0,False,-0.0,False,DHNC0002,Dhanmondi,24,curtail,0.41494041295175105,6.177987961623946,8.255538354478057,5.439944804400899,8.993581511701105,8.39,0.9839735821785526,0.6788997760026314,0.41494041295175105,True,9.1,0.3335450830469591,77.2644393413983,12:00,,
2026-06-14,0.0,False,-0.0,False,DHNC0002,Dhanmondi,25,curtail,0.41494041295175105,6.177987961623946,8.255538354478057,5.439944804400899,8.993581511701105,8.39,0.9839735821785526,0.6788997760026314,0.41494041295175105,True,9.1,0.3335450830469591,12.297823406754224,12:30,,
2026-06-14,0.0,False,-0.0,False,DHNC0002,Dhanmondi,26,curtail,0.41494041295175105,6.177987961623946,8.255538354478057,5.439944804400899,8.993581511701105,8.39,0.9839735821785526,0.6788997760026314,0.41494041295175105,True,9.1,0.3335450830469591,12.297823406754224,13:00,,
2026-06-14,0.0,False,-0.0,False,DHNC0002,Dhanmondi,27,curtail,0.41494041295175105,6.177987961623946,8.255538354478057,5.439944804400899,8.993581511701105,8.39,0.9839735821785526,0.6788997760026314,0.41494041295175105,True,9.1,0.3335450830469591,16.0140381886949,13:30,,
2026-06-14,0.0,False,-0.0,False,DHNC0002,Dhanmondi,28,curtail,0.41494041295175105,6.177987961623946,8.255538354478057,5.439944804400899,8.993581511701105,8.39,0.9839735821785526,0.6788997760026314,0.41494041295175105,True,9.1,0.3335450830469591,78.33372509623273,14:00,,
2026-06-14,0.0,False,0.0,False,DHNC0003,Dhanmondi,24,curtail,0.44008259670880423,4.894137779908336,8.255538354478057,6.485187162655044,6.664488971731349,8.39,0.9839735821785526,0.5757809152833336,0.44008259670880423,True,8.5,0.29561149935261444,30.51277585654231,12:00,,
2026-06-14,0.0,False,0.0,False,DHNC0003,Dhanmondi,25,curtail,0.44008259670880423,4.894137779908336,8.255538354478057,6.485187162655044,6.664488971731349,8.39,0.9839735821785526,0.5757809152833336,0.44008259670880423,True,8.5,0.29561149935261444,30.62064510094747,12:30,,
2026-06-14,0.0,False,0.0,False,DHNC0003,Dhanmondi,27,curtail,0.44008259670880423,4.894137779908336,8.255538354478057,6.485187162655044,6.664488971731349,8.39,0.9839735821785526,0.5757809152833336,0.44008259670880423,True,8.5,0.29561149935261444,10.84939000658201,13:30,,
2026-06-14,0.0,False,0.0,False,DHNC0003,Dhanmondi,28,curtail,0.44008259670880423,4.894137779908336,8.255538354478057,6.485187162655044,6.664488971731349,8.39,0.9839735821785526,0.5757809152833336,0.44008259670880423,True,8.5,0.29561149935261444,30.72939410525473,14:00,,
2026-06-14,0.0,False,0.0,False,DHNC0008,Dhanmondi,26,curtail,0.3590640949863418,3.1599792306789363,8.255538354478057,11.324318781782303,0.09119880337469155,8.39,0.9839735821785526,0.371762262432816,0.3590640949863418,True,8.5,0.36832411058015796,8.316934767121383,13:00,,
2026-06-14,0.0,False,0.0,False,DHNC0008,Dhanmondi,28,curtail,0.3590640949863418,3.1599792306789363,8.255538354478057,11.324318781782303,0.09119880337469155,8.39,0.9839735821785526,0.371762262432816,0.3590640949863418,True,8.5,0.36832411058015796,8.316934767121383,14:00,,
2026-06-14,0.0,False,0.0,False,DHNC0009,Dhanmondi,24,curtail,0.41414587042128215,6.110482585897787,8.255538354478057,6.811720654652398,7.554300285723445,8.39,0.9839735821785526,0.635185299989375,0.41414587042128215,True,9.62,0.3681708416300287,15.635398984936344,12:00,,
2026-06-14,0.0,False,0.0,False,DHNC0009,Dhanmondi,25,curtail,0.41414587042128215,6.110482585897787,8.255538354478057,6.811720654652398,7.554300285723445,8.39,0.9839735821785526,0.635185299989375,0.41414587042128215,True,9.62,0.3681708416300287,34.305526527831674,12:30,,
2026-06-14,0.0,False,0.0,False,DHNC0009,Dhanmondi,26,curtail,0.41414587042128215,6.110482585897787,8.255538354478057,6.811720654652398,7.554300285723445,8.39,0.9839735821785526,0.635185299989375,0.41414587042128215,True,9.62,0.3681708416300287,219.0661752492044,13:00,,
2026-06-14,0.0,False,0.0,False,DHNC0009,Dhanmondi,27,curtail,0.41414587042128215,6.110482585897787,8.255538354478057,6.811720654652398,7.554300285723445,8.39,0.9839735821785526,0.635185299989375,0.41414587042128215,True,9.62,0.3681708416300287,219.54649037074526,13:30,,
2026-06-14,0.0,False,0.0,False,DHNC0010,Dhanmondi,25,curtail,0.3230992493504371,4.274422202047192,8.255538354478057,11.557333831702422,0.9726267248228275,8.39,0.9839735821785526,0.5028732002408461,0.3230992493504371,True,8.5,0.47223761015347,4.921979423146429,12:30,,
2026-06-14,0.0,False,0.0,False,DHNC0010,Dhanmondi,27,curtail,0.3230992493504371,4.274422202047192,8.255538354478057,11.557333831702422,0.9726267248228275,8.39,0.9839735821785526,0.5028732002408461,0.3230992493504371,True,8.5,0.47223761015347,12.389521269316422,13:30,,
2026-06-14,0.0,False,0.0,False,DHNC0011,Dhanmondi,24,curtail,0.3491485285830399,5.542430074059832,8.255538354478057,12.980754926153738,0.8172135023841509,8.39,0.9839735821785526,0.3692491721558849,0.3491485285830399,True,15.01,0.34628718739531095,22.487474365843326,12:00,,
2026-06-14,0.0,False,0.0,False,DHNC0011,Dhanmondi,26,curtail,0.3491485285830399,5.542430074059832,8.255538354478057,12.980754926153738,0.8172135023841509,8.39,0.9839735821785526,0.3692491721558849,0.3491485285830399,True,15.01,0.34628718739531095,22.62033116435053,13:00,,
2026-06-14,0.0,False,0.0,False,DHNC0011,Dhanmondi,27,curtail,0.3491485285830399,5.542430074059832,8.255538354478057,12.980754926153738,0.8172135023841509,8.39,0.9839735821785526,0.3692491721558849,0.3491485285830399,True,15.01,0.34628718739531095,221.55975448057953,13:30,,
2026-06-14,0.0,False,0.0,False,DHNC0012,Dhanmondi,26,curtail,0.3788994379258158,4.578322051590402,8.255538354478057,9.501611793089516,3.332248612978944,8.39,0.9839735821785526,0.5386261237165179,0.3788994379258158,True,8.5,0.4240929139805077,14.322763364022848,13:00,,
2026-06-14,0.0,False,0.0,False,DHNC0015,Dhanmondi,24,curtail,0.4865116293721594,7.699807780332769,8.255538354478057,8.850780389601804,7.1045657452090225,8.39,0.9839735821785526,0.5129785330001845,0.4865116293721594,True,15.01,0.29887780309462,326.3437828846397,12:00,,
