date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,rho_used_tk_per_kwh,rho_current_policy,individual_rationality_on,curtail_scope_used,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-14,58265614.597885504,29500698.474420313,28764916.123465195,2057966.080739078,12000.0,0.0,17284335.417400867,0.0,12216363.057019446,2007475.3594078105,9000.0,0.0,16856218.26543153,0.0,11908697.858033665,0.0,0.0,8000.0,6000.0,0.9839735821785526,0.933268070690634,0.9421245421245421,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,False,stress_days,0.0,0,0
2026-06-15,59037105.370031044,30328003.07804718,28709102.291983865,2123060.090519063,0.0,0.0,17812474.15945494,0.0,12515528.918592239,1972034.2906989246,0.0,0.0,16545367.698963977,0.0,12163734.59301989,0.0,0.0,8000.0,6000.0,0.990058262751697,0.8980968995964964,0.9743589743589743,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,False,stress_days,0.0,0,0
2026-06-16,55340697.15107045,26369239.893641062,28971457.25742939,1666816.3366158064,0.0,0.0,13984589.064206617,0.0,12384650.829434445,2014556.7791237456,0.0,0.0,16902131.37684823,0.0,12069325.880581165,0.0,0.0,8000.0,6000.0,0.7829517956139519,0.9237101266056562,0.7765567765567766,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,False,stress_days,0.0,0,0
2026-06-17,58672346.877743006,30547953.45068211,28124393.42706089,2142422.059710383,0.0,0.0,17974921.080970116,0.0,12573032.369711997,1889341.280771602,0.0,0.0,15851573.345673742,0.0,12272820.08138715,0.0,0.0,8000.0,6000.0,0.9950348768872176,0.9396239785823317,0.9772893772893773,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,False,stress_days,2.1827872842550278e-11,150,0
2026-06-18,57777238.62343484,29587975.83505705,28189262.78837779,2046657.7304760497,0.0,0.0,17171458.358694058,0.0,12416517.47636299,1920475.3961127517,0.0,0.0,16112788.573385987,0.0,12076474.214991804,0.0,0.0,8000.0,6000.0,0.9610850860145514,0.8800652977744716,0.945054945054945,0.8695652173913043,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,False,stress_days,0.0,0,0
2026-06-19,51329159.653282076,24023960.48836147,27305199.164920606,1443795.2674628687,0.0,0.0,12113442.294013469,0.0,11910518.194348,1866664.7222459458,0.0,0.0,15661317.019643487,0.0,11643882.14527712,0.0,0.0,8000.0,6000.0,0.6980437668395768,0.8765893435852959,0.6593406593406593,0.8478260869565217,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,False,stress_days,0.0,0,0
2026-06-20,55880534.58662322,27674288.696665186,28206245.88995804,1768303.7528398633,0.0,0.0,14836068.486326454,0.0,12838220.210338732,1879895.1763719332,0.0,0.0,15772320.52976052,0.0,12433925.360197516,0.0,0.0,8000.0,6000.0,0.8096573106701263,0.9240403340180752,0.8205128205128205,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,False,stress_days,2.9103830456733704e-11,151,0
2026-06-21,60131374.2796722,31012408.069710985,29118966.209961213,2193845.8192420304,0.0,0.0,18406366.423440635,0.0,12606041.646270348,2014376.3082451764,0.0,0.0,16900617.226177033,0.0,12218348.983784182,0.0,0.0,8000.0,6000.0,1.017464726330321,0.9138456698239537,1.0285714285714285,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,False,stress_days,1.4551915228366852e-11,0,0
2026-06-22,57739225.172709465,29265908.865716945,28473316.30699252,2024285.8737177178,0.0,0.0,16983758.480491653,0.0,12282150.385225292,1967771.510129595,0.0,0.0,16509602.969987303,0.0,11963713.337005217,0.0,0.0,8000.0,6000.0,0.957906092564557,0.9074357342586847,0.9282051282051282,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,False,stress_days,0.0,0,0
2026-06-23,55812416.723638184,27292486.642906517,28519930.080731668,1744949.650045322,0.0,0.0,14640127.563880254,0.0,12652359.079026261,1930130.5934881018,0.0,0.0,16193795.679365175,0.0,12326134.40136649,0.0,0.0,8000.0,6000.0,0.8067327871742036,0.9571121161420331,0.8095238095238095,0.9565217391304348,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,False,stress_days,1.4551915228366852e-11,151,0
