date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-14,57613849.102098756,29174233.232783325,28439615.86931543,2009183.8249146033,12000.0,0.0,16875052.29103352,0.0,12299180.941749804,1961772.559756531,9000.0,0.0,16472771.776357295,0.0,11966844.092958134,0.0,0.0,8000.0,6000.0,0.9839735821785526,0.933268070690634,0.9421245421245421,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,0.0,0,0
2026-06-15,58373301.941062406,29983689.332756873,28389612.608305536,2071998.6879345675,0.0,0.0,17384068.991771024,0.0,12599620.34098585,1927460.6208025787,0.0,0.0,16171394.608533638,0.0,12218217.9997719,0.0,0.0,8000.0,6000.0,0.990058262751697,0.8980968995964964,0.9743589743589743,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,0,0
2026-06-16,54754507.98175533,26108687.71370502,28645820.268050313,1630583.1868296815,0.0,0.0,13680592.937501028,0.0,12428094.77620399,1968958.741114437,0.0,0.0,16519563.837950129,0.0,12126256.430100184,0.0,0.0,8000.0,6000.0,0.7829517956139519,0.9237101266056562,0.7765567765567766,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,0.0,0,0
2026-06-17,59366720.018306136,30202552.966112945,29164167.052193187,2090891.1856268097,0.0,0.0,17542577.047408935,0.0,12659975.91870401,2019245.1019968807,0.0,0.0,16941466.40575383,0.0,12222700.646439359,0.0,0.0,8000.0,6000.0,0.9950348768872176,0.9396239785823317,0.9772893772893773,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,0,0
2026-06-18,57137271.66068396,29256552.521911137,27880719.138772823,1997263.6253343765,0.0,0.0,16757041.81655542,0.0,12499510.705355715,1878128.7866455815,0.0,0.0,15757500.51995643,0.0,12123218.618816392,0.0,0.0,8000.0,6000.0,0.9610850860145514,0.8800652977744716,0.945054945054945,0.8695652173913043,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,0,0
2026-06-19,50826925.7936546,23814727.68057791,27012198.113076687,1414622.3380683954,0.0,0.0,11868681.416393839,0.0,11946046.264184074,1826082.7032412807,0.0,0.0,15320833.880194347,0.0,11691364.23288234,0.0,0.0,8000.0,6000.0,0.6980437668395768,0.8765893435852959,0.6593406593406593,0.8478260869565217,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,0.0,0,0
2026-06-20,56629270.785897106,27390491.828992978,29238778.956904132,1728977.5786947056,0.0,0.0,14506121.885248581,0.0,12884369.943744399,2008468.300282217,0.0,0.0,16851049.039367802,0.0,12387729.91753633,0.0,0.0,8000.0,6000.0,0.8096573106701263,0.9240403340180752,0.8205128205128205,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,0,0
2026-06-21,59433479.525894344,30641946.346193485,28791533.17970086,2138518.8258894314,0.0,0.0,17942172.94921233,0.0,12699773.396981154,1968743.562022104,0.0,0.0,16517758.485365452,0.0,12273774.694335409,0.0,0.0,8000.0,6000.0,1.017464726330321,0.9138456698239537,1.0285714285714285,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,0,0
2026-06-22,57101489.84185852,28944642.438315943,28156847.403542582,1976086.0068391527,0.0,0.0,16579361.597380493,0.0,12365280.840935452,1923553.4449599062,0.0,0.0,16138613.403213615,0.0,12018234.000328967,0.0,0.0,8000.0,6000.0,0.957906092564557,0.9074357342586847,0.9282051282051282,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,0,0
2026-06-23,56599257.91553065,27015162.06950883,29584095.846021827,1706146.090291069,0.0,0.0,14314565.69754207,0.0,12700596.371966759,2063359.0094890017,0.0,0.0,17311582.089612726,0.0,12272513.756409101,0.0,0.0,8000.0,6000.0,0.8067327871742036,0.9571121161420331,0.8095238095238095,0.9565217391304348,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,0.0,0,0
2026-06-24,59253481.179373175,29811821.600817107,29441659.578556072,2056446.412152092,0.0,0.0,17253585.397956055,0.0,12558236.20286105,2062592.439592355,0.0,0.0,17305150.56817986,0.0,12136509.010376211,0.0,0.0,8000.0,6000.0,0.9854083393737474,0.9657294952313036,0.967032967032967,0.9565217391304348,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,0,0
2026-06-25,58675718.668007694,29829801.169496424,28845917.49851127,2040417.380102173,0.0,0.0,17119101.819057234,0.0,12710699.350439189,1972841.1696323794,0.0,0.0,16552137.413215665,0.0,12293780.085295606,0.0,0.0,8000.0,6000.0,0.9688343954435716,0.914468135295299,0.9743589743589743,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,0,0
2026-06-26,54742554.46997891,24726578.466558374,30015976.00342054,1431708.8347010058,0.0,0.0,12012037.12314144,0.0,12714541.343416933,2111304.8604592094,0.0,0.0,17713847.779252768,0.0,12302128.224167772,0.0,0.0,8000.0,6000.0,0.6744008870610252,0.9774504500983394,0.676923076923077,0.9782608695652174,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,0.0,0,0
2026-06-27,59611737.598905884,29209763.693029158,30401973.905876726,1905047.959295204,0.0,0.0,15983352.378486762,0.0,13226411.314542394,2107142.4616053766,0.0,0.0,17678925.25286911,0.0,12723048.653007615,0.0,0.0,8000.0,6000.0,0.8776652592790941,0.9552410716665093,0.8901098901098901,0.9782608695652174,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,0,0
2026-06-28,62089905.55951474,30974624.22471212,31115281.33480262,2134025.9094801364,0.0,0.0,17904477.380538344,0.0,13070146.844173772,2206063.080974239,0.0,0.0,18508869.249373864,0.0,12606412.085428756,0.0,0.0,8000.0,6000.0,0.9921581771756754,1.007388410915333,1.0036630036630036,1.0217391304347827,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,0.0,0,0
2026-06-29,60896730.53310098,30491096.168830164,30405634.364270814,2113052.744272433,0.0,0.0,17728512.524445716,0.0,12762583.64438445,2157420.2499574134,0.0,0.0,18100755.8971427,0.0,12304878.467128115,0.0,0.0,8000.0,6000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,0,0
2026-06-30,61241833.416379265,31315892.262881823,29925941.153497443,2298725.3386119907,0.0,0.0,19286305.5909546,0.0,12029586.671927223,2170061.6018912233,0.0,0.0,18206816.839867365,0.0,11719124.31363008,0.0,0.0,8000.0,6000.0,1.1367510443265838,1.0440440804232594,1.067544182835452,1.0104250239859682,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,0.0,0,0
