date,peak_clock,peak_kw,inside_t_pk
2025-01-05,18:30,119884.0,True
2025-01-20,18:30,119779.2,True
2025-02-05,18:30,120171.6,True
2025-02-20,18:30,125967.7,True
2025-03-05,18:30,130361.4,True
2025-03-20,18:30,132483.6,True
2025-04-05,18:30,142054.6,True
2025-04-20,18:30,129787.5,True
2025-05-05,18:30,139413.6,True
2025-05-20,18:30,130530.7,True
2025-06-05,18:30,130802.6,True
2025-06-20,18:30,129671.7,True
2025-07-05,18:30,130518.4,True
2025-07-20,18:30,135282.9,True
2025-08-05,18:30,130358.4,True
2025-08-20,18:30,130450.5,True
2025-09-05,18:30,138895.7,True
2025-09-20,18:30,134051.9,True
2025-10-05,18:30,129891.9,True
2025-10-20,18:30,136541.6,True
2025-11-05,18:30,128447.2,True
2025-11-20,18:30,125530.3,True
2025-12-05,18:30,120107.8,True
2025-12-20,18:30,120101.6,True
