date,peak_clock,peak_kw,inside_t_pk
2025-01-05,12:30,114375.5,True
2025-01-20,18:30,109413.6,False
2025-02-05,12:30,116883.3,True
2025-02-20,12:30,126469.0,True
2025-03-05,12:30,130757.3,True
2025-03-20,12:30,130549.6,True
2025-04-05,12:30,139162.0,True
2025-04-20,12:30,124899.7,True
2025-05-05,12:30,138660.6,True
2025-05-20,12:30,125683.1,True
2025-06-05,12:30,125672.2,True
2025-06-20,12:30,121172.4,True
2025-07-05,12:30,124297.9,True
2025-07-20,12:30,130463.5,True
2025-08-05,12:30,126222.6,True
2025-08-20,12:30,122950.1,True
2025-09-05,12:30,138216.8,True
2025-09-20,12:30,131073.7,True
2025-10-05,12:30,125468.4,True
2025-10-20,12:30,138035.2,True
2025-11-05,12:30,122246.1,True
2025-11-20,12:30,123941.7,True
2025-12-05,12:30,115868.3,True
2025-12-20,12:30,110213.1,True
