substation,adaptive_window,adaptive_slots,national_slots,overlap_slots,mass_adaptive,mass_national,precision_adaptive,precision_national,precision_gain
Dhanmondi,12:00-14:30,5,12,0,0.709,0.006,0.1417,0.0005,284.8
Kalyanpur,18:00-21:00,6,12,6,0.416,0.6535,0.0693,0.0545,1.3
