consumer_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained_unweighted,gained_lambda,gained,saving_per_discomfort,participated
DHNC0001,Dhanmondi,Residential,Res-A,597.3547737671756,0.48811259340679575,1.6288542526025491,20.445468599887178,0.336160097220683,LT-A,169.67597468685108,144.2245784838234,0.0,25.451396203027663,0,175,2230.138808109814,280.4791064035253,7,upper-middle,174354.85781382807,4,4.112221543479506,4.112221543479506,6.269699999999999,12616.620689215142,10443.648479429345,280.4791064035253,17.35,7,4.285714285714286,727.1827486579332,618.1053363592431,9313.445493675898,7326.3277351245115,0.0,8606.62068921514,6714.127585832868,12.807572114251219,11.85287895794261,601-above,601-above,1987.117758551386,21.336011038027735,2172.9722097857975,25.451396203027684,15.000000000000014,0.0,0.0,0.85,True,37.45805684509742,True,False,True,0.8910287338731153,True
DHNC0002,Dhanmondi,Residential,Res-A,597.3547737671756,0.6788997760026314,2.2891494141129978,16.94157897705322,0.41494041295175105,LT-A,47.55959173664214,40.42565297614582,0.0,7.1339387604963225,0,148,517.9722296931839,78.6176560343535,7,upper-middle,112596.59401203739,5,0.8200816653012406,0.8052102892254086,3.6806,1854.8240777290437,1497.9828100353332,78.6176560343535,9.1,7,4.285714285714286,203.8268217284663,173.25279846919636,1801.1797416154957,1525.8956863375777,0.0,1560.8240777290434,1298.6487869881691,8.836814146152896,8.807336446048089,201-300,76-200,275.284055277918,15.283541609845837,356.8412676937105,7.133938760496321,15.0,0.014871376075831999,1.8134018482621845,0.85,True,-164.07051838091235,False,True,False,0.5314648923186095,True
DHNC0003,Dhanmondi,Residential,Res-A,597.3547737671756,0.5757809152833336,2.1309659713479836,15.287353625277056,0.44008259670880423,LT-A,40.91828424937112,34.780541611965454,0.0,6.13774263740567,0,162,402.12789496697627,67.63967515098498,7,upper-middle,122947.57133679508,4,0.9598106610021762,0.9590294490638465,2.3800000000000003,1490.594640512805,1199.3657692848994,67.63967515098498,8.5,7,4.285714285714286,175.36407535444764,149.05946405128051,1487.382372538445,1252.6137166576787,0.0,1316.5946405128047,1093.0054444358843,8.481682291724418,8.403449754969905,76-200,76-200,234.76865588076635,15.784014938949277,291.22887122790553,6.137742637405665,14.999999999999995,0.0007812119383296956,0.08139229642583896,0.85,True,-99.71956393522493,False,True,False,0.5838158924539322,True
DHNC0004,Dhanmondi,Residential,Res-B,597.3547737671756,0.39681518577343594,0.8814824867709768,20.296420716600025,0.3494072353236943,LT-A,29.18848830776541,27.34942135301186,0.0,1.8390669547535505,0,138,159.9706141700335,23.64514656111708,6,middle,53546.145812606715,4,0.7615689853937833,0.7615689853937833,2.2843999999999998,1063.294931211454,972.655202727172,23.64514656111708,8.5,7,4.285714285714286,125.09352131899462,117.21180579862225,1034.501717772027,964.1574067527035,0.0,889.2949312114542,822.3003492882891,8.269826501517986,8.225770434841612,76-200,76-200,70.34431101932341,6.799825443578933,90.63972848428205,1.8390669547535516,6.300658449188269,0.0,0.0,0.9369934155081173,True,-65.98115658959301,False,False,False,0.43973270581154433,True
DHNC0005,Dhanmondi,Residential,Res-B,597.3547737671756,0.30768563832642065,1.3545743690674348,18.996613699464877,0.410064197023275,LT-A,45.365698701052786,39.53307871139468,0.0,5.83261998965811,0,141,474.8572662827654,74.99082843846142,6,middle,59531.87269822272,5,0.9052815631896679,0.9052815631896679,3.5601,1652.6075955383515,1365.1427531909158,74.99082843846142,8.5,7,4.285714285714286,194.42442300451194,169.42748019169147,1709.5383853152691,1486.4406707108467,0.0,1478.6075955383515,1266.1335816293777,8.79281706946661,8.77331510230263,76-200,76-200,223.09771460442244,13.050172872443532,287.4648423474357,5.832619989658106,12.856894430511108,0.0,0.0,0.8714310556948888,True,-176.76872323988152,False,False,False,0.4698205765089281,True
DHNC0006,Dhanmondi,Residential,Res-C,597.3547737671756,0.24558693229210504,3.294708550330959,30.654584092625228,0.26969991655302733,LT-A,26.48458284713343,26.48458284713343,0.0,0.0,0,0,0.0,0.0,0,lower-middle,10736.852167504177,4,0.2577135786200017,0.2577135786200017,0.38070000000000004,964.7955180027178,964.7955180027178,0.0,8.5,7,4.285714285714286,113.50535505914327,113.50535505914327,852.3852939028537,852.3852939028537,0.0,790.7955180027178,790.7955180027178,7.5096482757021334,7.5096482757021334,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0007,Dhanmondi,Residential,Res-C,597.3547737671756,0.22703155796447627,3.368434981796543,21.03050655633284,0.3025223374839223,LT-A,34.58004746355886,34.58004746355886,0.0,0.0,0,0,0.0,0.0,0,lower-middle,24775.58637255295,4,1.2438712044339089,1.2438712044339089,1.9195,1259.7017290296444,1259.7017290296444,0.0,8.5,7,4.285714285714286,148.20020341525228,148.20020341525228,1224.6367654811265,1224.6367654811265,0.0,1085.7017290296444,1085.7017290296444,8.263394632797723,8.263394632797723,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0008,Dhanmondi,Residential,Res-B,597.3547737671756,0.371762262432816,1.958195354437911,18.025530948896996,0.3590640949863418,LT-A,43.70899845360974,37.15264868556829,0.0,6.556349768041463,0,217,506.4929385241074,72.25270133148963,7,middle,43471.247693859405,5,0.9195532087924515,0.868663353844178,2.2004,1592.2563722386408,1281.165215071355,72.25270133148963,8.5,7,4.285714285714286,187.32427908689888,159.22563722386408,1586.2068308505725,1335.4264522229869,0.0,1418.2563722386406,1179.4179164028446,8.467705513574876,8.387006486558677,76-200,76-200,250.7803786275856,15.810068003118452,311.0911571672857,6.55634976804145,14.999999999999977,0.05088985494827347,5.5341936129070275,0.85,True,-183.45985856503216,False,False,False,0.4951310463643301,True
DHNC0009,Dhanmondi,Residential,Res-A,597.3547737671756,0.635185299989375,1.225327892006244,18.6717274672704,0.41414587042128215,LT-A,91.39433549106401,77.6851851674044,0.0,13.709150323659602,0,130,1097.0293656480594,151.07715662313322,7,upper-middle,177614.14505977277,4,2.3167358193919907,2.073615312607911,3.9807,3768.057888960153,3051.772048992997,151.07715662313322,9.62,7,4.285714285714286,391.6900092474172,332.9365078603046,3659.5096534081613,3066.0405358969365,0.0,3318.0578889601534,2752.84920561613,9.342872085094655,9.209084805993712,301-400,301-400,593.4691175112248,16.21717589837527,716.2858399671559,13.709150323659614,15.000000000000014,0.24312050678407982,10.494097114960864,0.85,True,-352.4830915137014,False,True,False,0.540978333028158,True
DHNC0010,Dhanmondi,Residential,Res-A,597.3547737671756,0.5028732002408461,1.8157646555528526,23.248261484397293,0.3230992493504371,LT-A,45.61773981963884,40.58912678057699,0.0,5.028613039061851,0,203,501.02790358268425,55.41659855886806,7,upper-middle,156299.7761650142,6,0.9780466329601829,0.9530446000842205,3.7399000000000004,1661.7890934297006,1423.187305590722,55.41659855886806,8.5,7,4.285714285714286,195.50459922702362,173.9534004881871,1727.1081381011857,1534.76368935707,0.0,1487.7890934297006,1304.6039041495903,8.834104900497175,8.822843848121805,76-200,76-200,192.34444874411565,11.13679245096851,238.60178783897868,5.028613039061852,11.023371738590587,0.025002032875962366,2.556323188833085,0.8897662826140942,True,-253.26685627970053,False,False,False,0.38389967378807516,True
DHNC0011,Dhanmondi,Residential,Res-A,597.3547737671756,0.3692491721558849,2.485346922333847,20.579846039237896,0.3491485285830399,LT-A,113.11916893982416,96.15129359885054,0.0,16.967875340973627,0,123,1496.5554091295076,186.99134246911413,7,upper-middle,199144.37502718804,4,2.468379598189107,2.423327601934816,5.570199999999999,7276.794539086117,5998.284015754085,186.99134246911413,15.01,7,4.285714285714286,484.7964383135321,412.0769725665023,5149.980086040423,4003.88494613436,0.0,4670.794539086117,3579.2753582232,10.622974261023302,9.716352071792121,401-600,401-600,1146.0951399060632,22.2543606141833,1278.5105233320319,16.96787534097362,14.999999999999995,0.045051996254291016,1.8251648282680184,0.85,True,-163.46892675433014,False,False,False,0.7658220557117263,True
DHNC0012,Dhanmondi,Residential,Res-A,597.3547737671756,0.5386261237165179,2.408977113564393,20.594169461062933,0.3788994379258158,LT-A,36.527885822183805,32.30741507765868,0.0,4.220470744525123,0,161,372.5018130780378,46.51105436414625,7,upper-middle,104924.43749387428,4,0.9634952317947494,0.875220506041868,2.9512,1330.6586978081243,1130.4019234648486,46.51105436414625,8.5,7,4.285714285714286,156.54808209507345,138.4603503328229,1344.6395526985305,1183.2065467204445,0.0,1156.6586978081243,1002.9129778289947,8.58930709787882,8.545453943142002,76-200,76-200,161.43300597808593,12.005671382647433,200.25677434327577,4.220470744525123,11.554106265745013,0.08827472575288142,9.161926581457783,0.8844589373425499,True,-164.55775273580562,False,False,False,0.4333750878798174,True
DHNC0013,Dhanmondi,Residential,Res-B,597.3547737671756,0.4151720167605782,1.6924710884998417,21.58504930244223,0.42377541672191993,LT-A,43.03940587255176,37.505835213617374,0.0,5.533570658934385,0,145,511.8959806784847,71.14590847201352,6,middle,56263.97878643399,5,1.0549807140237266,1.0549807140237266,1.7252,1567.8640710715283,1295.1380885954763,71.14590847201352,8.5,7,4.285714285714286,184.4545965966504,160.73929377264588,1539.6385946251048,1327.9795169208644,0.0,1393.8640710715283,1192.28399706749,8.346978730987416,8.261698093555117,76-200,76-200,211.65907770424042,13.747322160092931,272.72598247605197,5.533570658934387,12.856986630624945,0.0,0.0,0.8714301336937507,True,-229.09099450223079,False,False,False,0.41348063999975176,True
DHNC0014,Dhanmondi,Residential,Res-B,597.3547737671756,0.3658805028771735,1.3716573692530845,16.91677503786368,0.3233193602958268,LT-A,32.5446779942436,30.660466079177162,0.0,1.8842119150664347,0,112,136.6062389607479,20.764396359443158,7,middle,52192.10494958036,4,0.8218149354451332,0.8218149354451332,2.8141,1185.5561269331595,1096.1525822391534,20.764396359443158,8.5,7,4.285714285714286,139.47719140390114,131.40199748218782,1186.2357432798176,1114.1646375285263,0.0,1011.5561269331597,942.9169785985965,8.504872598450092,8.479054039338761,76-200,76-200,72.07110575129127,6.075614072462714,89.40354469400609,1.8842119150664374,5.789616094526149,0.0,0.0,0.9421038390547386,True,-43.77073685001348,False,False,False,0.5275828271064545,True
DHNC0015,Dhanmondi,Residential,Res-A,597.3547737671756,0.5129785330001845,1.316171549000022,18.17328596237249,0.4865116293721594,LT-A,132.6948759542929,112.79064456114897,0.0,19.90423139314394,0,113,1550.251238437871,219.34631739020713,7,upper-middle,83791.43714369864,5,2.9451540274199877,2.9295980675175346,4.6006,8536.071806031156,7036.314717736274,219.34631739020713,15.01,7,4.285714285714286,568.6923255183982,483.3884766906384,6429.461856332715,5085.030546882806,0.0,5930.071806031157,4649.661035126483,11.305694780515744,10.519552682959697,401-600,401-600,1344.4313094499084,20.910479593649153,1499.7570882948812,19.904231393143945,15.000000000000007,0.015555959902453065,0.5281883309879174,0.85,True,13.526388402244493,True,True,True,0.867234468913981,True
DHNC0016,Dhanmondi,Residential,Res-A,597.3547737671756,0.5202448578294103,1.449290396516837,27.850003669213212,0.3477793964255179,LT-A,47.73766928765054,42.42284284266202,0.0,5.314826444988517,0,203,634.3625828321211,58.57055503149023,7,upper-middle,140591.20841218322,5,0.8406834992423524,0.815990360543349,2.6751000000000005,1861.7691022183712,1595.920315832329,58.57055503149023,9.1,7,4.285714285714286,204.59001123278802,181.81218361140867,1764.1294673292896,1557.9456487318223,0.0,1567.769102218371,1371.4035606969737,8.622754633519305,8.568983759975376,201-300,76-200,206.18381859746728,11.687567291169868,265.8487863860423,5.314826444988519,11.133401618255029,0.02469313869900347,2.937269343487486,0.8886659838174498,True,-369.6082092031636,False,False,False,0.3250251893435401,True
DHNC0017,Dhanmondi,Residential,Res-A,597.3547737671756,0.6267937956030032,1.7266259395684538,22.191994917413318,0.41451152558965887,LT-A,101.51923762002099,86.29135197701785,0.0,15.227885643003155,0,135,1448.3021176820453,167.81563088578935,7,upper-middle,125784.29300369692,5,3.500688255617963,3.4770509338064572,5.3001,6530.587528613637,5383.183768435801,167.81563088578935,15.01,7,4.285714285714286,435.08244694294706,369.8200799015051,4354.551315044317,3496.787037085103,0.0,3924.587528613635,3107.669168652479,10.008565837672911,9.45537364552084,401-600,301-400,857.7642779592138,19.69810930912142,1147.4037601778364,15.227885643003134,14.999999999999984,0.023637321811505796,0.6752192736263284,0.8499999999999999,True,-422.7222088370422,False,True,False,0.5922550740532191,True
DHNC0018,Dhanmondi,Residential,Res-B,597.3547737671756,0.2257660077084152,1.493458400861342,16.960060365187232,0.3785107765602678,LT-A,38.53118433116773,36.05285133595301,0.0,2.4783329952147297,0,112,180.1400451594733,31.864281367046527,3,middle,48210.726844112214,5,0.8682932430298019,0.8679740225444882,2.4252,1403.636000635396,1281.4895887283842,31.864281367046527,8.5,7,4.285714285714286,165.13364713357598,154.51222001122719,1398.0691206671656,1303.2728836002025,0.0,1229.6360006353957,1139.353870095431,8.46628863914253,8.434756056870478,76-200,76-200,94.79623706696316,6.780511468683745,122.14641190701172,2.4783329952147213,6.432018735562216,0.0003192204853137426,0.03676413330130984,0.9356798126443776,True,-53.4795267254636,False,False,False,0.5262363345309619,True
DHNC0019,Dhanmondi,Residential,Res-B,597.3547737671756,0.41725187886000425,1.9210553598697473,18.434665121911685,0.4507181261917123,LT-A,37.003066967153345,31.55950415190994,0.0,5.443562815243401,0,224,430.07253243901243,59.98946824946261,7,middle,41001.29658024218,4,0.9977593062056762,0.9196918181326736,2.9,1347.9688680891572,1089.678182998685,59.98946824946261,8.5,7,4.285714285714286,158.58457271637147,135.25501779389975,1360.5573114936153,1152.3410338105552,0.0,1173.9688680891575,975.6676512481479,8.579380000140192,8.51976549636392,76-200,76-200,208.21627768306007,15.30374912722206,258.29068509047215,5.4435628152434035,14.711112514201897,0.07806748807300257,7.824280624340264,0.8528888748579811,True,-161.86678650648975,False,False,False,0.4841422364321458,True
DHNC0020,Dhanmondi,Residential,Res-A,597.3547737671756,0.4524087566689231,1.669019248356296,18.06735840768602,0.43758001754558074,LT-A,63.60730094190662,54.06620580062063,0.0,9.541095141285993,0,134,738.7816522261959,105.14392072464933,7,upper-middle,196485.8508143802,5,1.7088118476713863,1.7088118476713863,5.2801,2480.6847367343585,2003.4381054995554,105.14392072464933,9.1,7,4.285714285714286,272.60271832245695,231.7123105740884,2528.871383571076,2138.163537535415,0.0,2186.684736734358,1814.5820262242046,9.27676510026477,9.227664823840906,201-300,201-300,390.7078460356611,15.449889961739919,477.2466312348031,9.541095141285993,15.0,0.0,0.0,0.85,True,-242.9298854658855,False,False,False,0.5288542898410211,True
DHNC0021,Dhanmondi,Residential,Res-A,597.3547737671756,0.593499683187066,1.5735730355305488,25.14225263506083,0.36812831116610345,LT-A,150.5804470299129,127.99337997542595,0.0,22.587067054486937,0,178,2433.8131978670135,248.91003485608587,7,upper-middle,154326.830346587,4,2.9578632582300566,2.9403163289081418,5.964899999999999,11196.731811295667,9268.312004745232,248.91003485608587,17.35,7,4.285714285714286,645.344772985341,548.5430570375398,7809.120491860451,6172.0649404401465,0.0,7186.731811295667,5627.631286133473,12.10069534728816,11.251741975867827,601-above,401-600,1637.0555514203043,20.963379334799978,1928.4198065504352,22.58706705448695,15.00000000000001,0.017546929321914817,0.5932299024673187,0.85,True,-547.8476115906233,False,True,False,0.6726299096639852,True
DHNC0022,Dhanmondi,Residential,Res-B,597.3547737671756,0.3775815483160288,2.0624570062445944,14.334308694458459,0.2780412155954435,LT-A,31.020401936896832,27.274012693081662,0.0,3.746389243815168,0,203,230.1509996161946,41.286213955023996,7,middle,39560.95363024633,5,0.6256898088336535,0.5860877864188327,1.2202,1130.0289277012419,952.2671055786652,41.286213955023996,8.5,7,4.285714285714286,132.94457972955786,116.88862582749283,1057.6411940863038,914.3418055103734,0.0,956.0289277012419,819.5533195336891,7.955504438299083,7.822333430968571,76-200,76-200,143.29938857593038,13.548960590526802,177.76182212257663,3.7463892438151696,12.07717827588518,0.0396020224148208,6.329337933223303,0.8792282172411483,True,-45.56539708524025,False,False,False,0.6226320494583987,True
