n_total,n_acting,n_topn,hits,precision,baseline_random,lift,date,precision_random_draw,precision_mean_relative,precision_no_phi2,precision_nextday,precision_nextday_random,precision_nextday_lift
6250,704,52,52,1.0,0.11264,8.877840909090908,2026-06-14,0.15384615384615385,1.0,0.2692307692307692,1.0,0.1128,8.865248226950355
6250,705,52,52,1.0,0.1128,8.865248226950355,2026-06-15,0.15384615384615385,1.0,0.2692307692307692,1.0,0.112,8.928571428571429
6250,700,52,52,1.0,0.112,8.928571428571429,2026-06-16,0.15384615384615385,1.0,0.2692307692307692,1.0,0.11728,8.526603001364256
6250,733,52,52,1.0,0.11728,8.526603001364256,2026-06-17,0.17307692307692307,1.0,0.3269230769230769,0.8461538461538461,0.11248,7.522704891125944
6250,703,52,52,1.0,0.11248,8.890469416785207,2026-06-18,0.15384615384615385,1.0,0.2692307692307692,1.0,0.1104,9.057971014492754
6250,690,52,52,1.0,0.1104,9.057971014492754,2026-06-19,0.15384615384615385,1.0,0.2692307692307692,1.0,0.11808,8.468834688346883
6250,738,52,52,1.0,0.11808,8.468834688346883,2026-06-20,0.17307692307692307,1.0,0.3269230769230769,0.8461538461538461,0.1136,7.4485373781148425
6250,710,52,52,1.0,0.1136,8.80281690140845,2026-06-21,0.15384615384615385,1.0,0.2692307692307692,0.9807692307692307,0.112,8.756868131868131
6250,700,52,52,1.0,0.112,8.928571428571429,2026-06-22,0.15384615384615385,1.0,0.2692307692307692,1.0,0.11808,8.468834688346883
6250,738,52,52,1.0,0.11808,8.468834688346883,2026-06-23,0.17307692307692307,1.0,0.3269230769230769,1.0,0.11728,8.526603001364256
6250,733,52,52,1.0,0.11728,8.526603001364256,2026-06-24,0.17307692307692307,1.0,0.3269230769230769,0.8461538461538461,0.1136,7.4485373781148425
6250,710,52,52,1.0,0.1136,8.80281690140845,2026-06-25,0.15384615384615385,1.0,0.2692307692307692,1.0,0.11808,8.468834688346883
6250,738,52,52,1.0,0.11808,8.468834688346883,2026-06-26,0.17307692307692307,1.0,0.3269230769230769,1.0,0.12128,8.24538258575198
6250,758,52,52,1.0,0.12128,8.24538258575198,2026-06-27,0.17307692307692307,1.0,0.34615384615384615,1.0,0.11968,8.355614973262032
6250,748,52,52,1.0,0.11968,8.355614973262032,2026-06-28,0.17307692307692307,1.0,0.34615384615384615,0.9807692307692307,0.11808,8.305972482801751
6250,738,52,52,1.0,0.11808,8.468834688346883,2026-06-29,0.17307692307692307,1.0,0.3269230769230769,1.0,0.1152,8.680555555555555
6250,720,52,52,1.0,0.1152,8.680555555555555,2026-06-30,0.17307692307692307,1.0,0.3269230769230769,1.0,0.13968,7.15922107674685
6250,873,52,52,1.0,0.13968,7.15922107674685,2026-07-01,0.19230769230769232,1.0,0.4423076923076923,1.0,0.13968,7.15922107674685
6250,873,52,52,1.0,0.13968,7.15922107674685,2026-07-02,0.19230769230769232,1.0,0.4423076923076923,0.9423076923076923,0.1152,8.179754273504274
6250,720,52,52,1.0,0.1152,8.680555555555555,2026-07-03,0.17307692307692307,1.0,0.3269230769230769,1.0,0.1152,8.680555555555555
6250,720,52,52,1.0,0.1152,8.680555555555555,2026-07-04,0.17307692307692307,1.0,0.3269230769230769,1.0,0.13968,7.15922107674685
6250,873,52,52,1.0,0.13968,7.15922107674685,2026-07-05,0.19230769230769232,1.0,0.4423076923076923,1.0,0.13968,7.15922107674685
6250,873,52,52,1.0,0.13968,7.15922107674685,2026-07-06,0.19230769230769232,1.0,0.4423076923076923,1.0,0.13968,7.15922107674685
6250,873,52,52,1.0,0.13968,7.15922107674685,2026-07-07,0.19230769230769232,1.0,0.4423076923076923,0.9038461538461539,0.13568,6.661601959361394
6250,848,52,52,1.0,0.13568,7.370283018867925,2026-07-08,0.17307692307692307,1.0,0.4423076923076923,1.0,0.13568,7.370283018867925
6250,848,52,52,1.0,0.13568,7.370283018867925,2026-07-09,0.17307692307692307,1.0,0.4423076923076923,0.7307692307692307,0.11136,6.562223695844385
6250,696,52,52,1.0,0.11136,8.979885057471265,2026-07-10,0.15384615384615385,1.0,0.2692307692307692,1.0,0.1352,7.396449704142013
6250,845,52,52,1.0,0.1352,7.396449704142013,2026-07-11,0.17307692307692307,1.0,0.4423076923076923,1.0,0.13568,7.370283018867925
6250,848,52,52,1.0,0.13568,7.370283018867925,2026-07-12,0.17307692307692307,1.0,0.4423076923076923,1.0,0.13568,7.370283018867925
6250,848,52,52,1.0,0.13568,7.370283018867925,2026-07-13,0.17307692307692307,1.0,0.4423076923076923,,,
