date,consumer_id,slot,clock,var,value
2026-06-30,DHNC0003,33,16:30,y,0.44008259670880423
2026-06-30,DHNC0003,34,17:00,y,0.44008259670880423
2026-06-30,DHNC0003,35,17:30,y,0.44008259670880423
2026-06-30,DHNC0003,37,18:30,y,0.44008259670880423
2026-06-30,DHNC0003,41,20:30,y,0.44008259670880423
2026-06-30,DHNC0003,43,21:30,y,0.44008259670880423
2026-06-30,DHNC0003,44,22:00,y,0.44008259670880423
2026-06-30,DHNC0003,45,22:30,y,0.44008259670880423
2026-06-30,DHNC0003,46,23:00,y,0.44008259670880423
2026-06-30,DHNC0003,47,23:30,y,0.44008259670880423
2026-06-30,DHNC0004,0,00:00,y,0.3494072353236943
2026-06-30,DHNC0004,1,00:30,y,0.3494072353236943
2026-06-30,DHNC0004,8,04:00,y,0.3494072353236943
2026-06-30,DHNC0004,10,05:00,y,0.3494072353236943
2026-06-30,DHNC0004,14,07:00,y,0.3494072353236943
2026-06-30,DHNC0004,15,07:30,y,0.3494072353236943
2026-06-30,DHNC0004,18,09:00,y,0.3494072353236943
2026-06-30,DHNC0004,19,09:30,y,0.3494072353236943
2026-06-30,DHNC0004,24,12:00,y,0.3494072353236943
2026-06-30,DHNC0004,26,13:00,y,0.3494072353236943
2026-06-30,DHNC0004,27,13:30,y,0.3494072353236943
2026-06-30,DHNC0004,28,14:00,y,0.3494072353236943
2026-06-30,DHNC0004,35,17:30,y,0.3494072353236943
2026-06-30,DHNC0004,36,18:00,y,0.3494072353236943
2026-06-30,DHNC0004,37,18:30,y,0.3494072353236943
2026-06-30,DHNC0004,38,19:00,y,0.3494072353236943
2026-06-30,DHNC0004,39,19:30,y,0.3494072353236943
2026-06-30,DHNC0004,40,20:00,y,0.3494072353236943
2026-06-30,DHNC0004,42,21:00,y,0.3494072353236943
2026-06-30,DHNC0004,43,21:30,y,0.3494072353236943
2026-06-30,DHNC0004,45,22:30,y,0.3494072353236943
2026-06-30,DHNC0004,46,23:00,y,0.3494072353236943
2026-06-30,DHNC0004,47,23:30,y,0.3494072353236943
2026-06-30,DHNC0008,1,00:30,y,0.3590640949863418
2026-06-30,DHNC0008,5,02:30,y,0.3590640949863418
2026-06-30,DHNC0008,9,04:30,y,0.3590640949863418
2026-06-30,DHNC0008,10,05:00,y,0.3590640949863418
2026-06-30,DHNC0008,11,05:30,y,0.3590640949863418
2026-06-30,DHNC0008,12,06:00,y,0.3590640949863418
2026-06-30,DHNC0008,13,06:30,y,0.3590640949863418
2026-06-30,DHNC0008,14,07:00,y,0.3590640949863418
2026-06-30,DHNC0008,15,07:30,y,0.3590640949863418
2026-06-30,DHNC0008,16,08:00,y,0.3590640949863418
2026-06-30,DHNC0008,18,09:00,y,0.3590640949863418
2026-06-30,DHNC0008,19,09:30,y,0.3590640949863418
2026-06-30,DHNC0008,20,10:00,y,0.3590640949863418
2026-06-30,DHNC0008,22,11:00,y,0.3590640949863418
2026-06-30,DHNC0008,23,11:30,y,0.3590640949863418
2026-06-30,DHNC0008,26,13:00,y,0.3590640949863418
2026-06-30,DHNC0008,28,14:00,y,0.3590640949863418
2026-06-30,DHNC0008,34,17:00,y,0.3590640949863418
2026-06-30,DHNC0008,35,17:30,y,0.3590640949863418
2026-06-30,DHNC0008,36,18:00,y,0.3590640949863418
2026-06-30,DHNC0008,37,18:30,y,0.3590640949863418
2026-06-30,DHNC0008,38,19:00,y,0.3590640949863418
2026-06-30,DHNC0008,39,19:30,y,0.29837968734084924
2026-06-30,DHNC0008,40,20:00,y,0.3590640949863418
2026-06-30,DHNC0008,41,20:30,y,0.3590640949863418
2026-06-30,DHNC0008,42,21:00,y,0.3590640949863418
2026-06-30,DHNC0008,43,21:30,y,0.3590640949863418
2026-06-30,DHNC0008,44,22:00,y,0.3590640949863418
2026-06-30,DHNC0008,45,22:30,y,0.3590640949863418
2026-06-30,DHNC0008,46,23:00,y,0.3590640949863418
2026-06-30,DHNC0008,47,23:30,y,0.3590640949863418
2026-06-30,DHNC0009,1,00:30,y,0.011554806367693368
2026-06-30,DHNC0009,2,01:00,y,0.41414587042128215
2026-06-30,DHNC0009,4,02:00,y,0.41414587042128215
2026-06-30,DHNC0009,8,04:00,y,0.41414587042128215
2026-06-30,DHNC0009,9,04:30,y,0.41414587042128215
2026-06-30,DHNC0009,11,05:30,y,0.41414587042128215
2026-06-30,DHNC0009,13,06:30,y,0.41414587042128215
2026-06-30,DHNC0009,14,07:00,y,0.41414587042128215
2026-06-30,DHNC0009,17,08:30,y,0.41414587042128215
2026-06-30,DHNC0009,19,09:30,y,0.41414587042128215
2026-06-30,DHNC0009,21,10:30,y,0.41414587042128215
