date,consumer_id,slot,clock,var,value
2026-06-14,KLNC0323,39,19:30,x,1.0
2026-06-14,KLNC0323,40,20:00,x,1.0
2026-06-14,KLNC0323,41,20:30,x,1.0
2026-06-14,KLNC0324,36,18:00,x,1.0
2026-06-14,KLNC0324,37,18:30,x,1.0
2026-06-14,KLNC0326,36,18:00,x,1.0
2026-06-14,KLNC0326,37,18:30,x,1.0
2026-06-14,KLNC0326,38,19:00,x,1.0
2026-06-14,KLNC0326,39,19:30,x,1.0
2026-06-14,KLNC0326,40,20:00,x,1.0
2026-06-14,KLNC0326,41,20:30,x,1.0
2026-06-14,KLNC0333,36,18:00,x,1.0
2026-06-14,KLNC0333,37,18:30,x,1.0
2026-06-14,KLNC0333,38,19:00,x,1.0
2026-06-14,KLNC0333,39,19:30,x,1.0
2026-06-14,KLNC0333,40,20:00,x,1.0
2026-06-14,KLNC0333,41,20:30,x,1.0
2026-06-14,KLNC0335,36,18:00,x,1.0
2026-06-14,KLNC0335,37,18:30,x,1.0
2026-06-14,KLNC0335,38,19:00,x,1.0
2026-06-14,KLNC0335,39,19:30,x,1.0
2026-06-14,KLNC0335,40,20:00,x,1.0
2026-06-14,KLNC0335,41,20:30,x,1.0
2026-06-14,KLNC0338,36,18:00,x,1.0
2026-06-14,KLNC0338,37,18:30,x,1.0
2026-06-14,KLNC0340,36,18:00,x,1.0
2026-06-14,KLNC0341,37,18:30,x,1.0
2026-06-14,KLNC0343,36,18:00,x,1.0
2026-06-14,KLNC0343,37,18:30,x,1.0
2026-06-14,KLNC0344,36,18:00,x,1.0
2026-06-14,KLNC0344,37,18:30,x,1.0
2026-06-14,KLNC0345,37,18:30,x,1.0
2026-06-14,KLNC0346,37,18:30,x,1.0
2026-06-14,KLNC0346,40,20:00,x,1.0
2026-06-14,KLNC0347,36,18:00,x,1.0
2026-06-14,KLNC0348,36,18:00,x,1.0
2026-06-14,KLNC0348,37,18:30,x,1.0
2026-06-14,KLNC0348,38,19:00,x,1.0
2026-06-14,KLNC0349,36,18:00,x,1.0
2026-06-14,KLNC0349,37,18:30,x,1.0
2026-06-14,KLNC0351,37,18:30,x,1.0
2026-06-14,KLNC0354,37,18:30,x,1.0
2026-06-14,KLNC0355,36,18:00,x,1.0
2026-06-14,KLNC0356,37,18:30,x,1.0
2026-06-14,DHNC0001,1,00:30,y,0.336160097220683
2026-06-14,DHNC0001,3,01:30,y,0.336160097220683
2026-06-14,DHNC0001,6,03:00,y,0.336160097220683
2026-06-14,DHNC0001,8,04:00,y,0.336160097220683
2026-06-14,DHNC0001,11,05:30,y,0.336160097220683
2026-06-14,DHNC0001,12,06:00,y,0.336160097220683
2026-06-14,DHNC0001,15,07:30,y,0.336160097220683
2026-06-14,DHNC0001,17,08:30,y,0.336160097220683
2026-06-14,DHNC0001,20,10:00,y,0.336160097220683
2026-06-14,DHNC0001,22,11:00,y,0.336160097220683
2026-06-14,DHNC0001,24,12:00,y,0.292058985113429
2026-06-14,DHNC0001,26,13:00,y,0.336160097220683
2026-06-14,DHNC0001,37,18:30,y,0.336160097220683
2026-06-14,DHNC0001,43,21:30,y,0.336160097220683
2026-06-14,DHNC0001,44,22:00,y,0.336160097220683
2026-06-14,DHNC0003,3,01:30,y,0.4095113664584127
2026-06-14,DHNC0003,8,04:00,y,0.4095113664584127
2026-06-14,DHNC0003,10,05:00,y,0.4095113664584127
2026-06-14,DHNC0003,11,05:30,y,0.4095113664584127
2026-06-14,DHNC0003,15,07:30,y,0.4095113664584127
2026-06-14,DHNC0003,16,08:00,y,0.4095113664584127
2026-06-14,DHNC0003,18,09:00,y,0.4095113664584127
2026-06-14,DHNC0003,20,10:00,y,0.4095113664584127
2026-06-14,DHNC0003,22,11:00,y,0.4095113664584127
2026-06-14,DHNC0003,25,12:30,y,0.4095113664584127
2026-06-14,DHNC0003,30,15:00,y,0.4095113664584127
2026-06-14,DHNC0003,34,17:00,y,0.4095113664584127
2026-06-14,DHNC0003,37,18:30,y,0.4095113664584127
2026-06-14,DHNC0003,38,19:00,y,0.4095113664584127
2026-06-14,DHNC0003,39,19:30,y,0.4095113664584127
2026-06-14,DHNC0003,40,20:00,y,0.4095113664584127
2026-06-14,DHNC0003,41,20:30,y,0.4095113664584127
2026-06-14,DHNC0003,42,21:00,y,0.4095113664584127
2026-06-14,DHNC0003,43,21:30,y,0.4095113664584127
2026-06-14,DHNC0003,44,22:00,y,0.4095113664584127
2026-06-14,DHNC0003,45,22:30,y,0.4095113664584127
2026-06-14,DHNC0003,46,23:00,y,0.12519512767587002
2026-06-14,DHNC0006,4,02:00,y,0.38978441997885555
2026-06-14,DHNC0006,5,02:30,y,0.38978441997885555
2026-06-14,DHNC0006,6,03:00,y,0.38978441997885555
2026-06-14,DHNC0006,7,03:30,y,0.38978441997885555
2026-06-14,DHNC0006,8,04:00,y,0.38978441997885555
2026-06-14,DHNC0006,10,05:00,y,0.38978441997885555
2026-06-14,DHNC0006,15,07:30,y,0.38978441997885555
2026-06-14,DHNC0006,16,08:00,y,0.38978441997885555
2026-06-14,DHNC0006,18,09:00,y,0.38978441997885555
2026-06-14,DHNC0006,22,11:00,y,0.38978441997885555
2026-06-14,DHNC0006,24,12:00,y,0.07065866159190366
2026-06-14,DHNC0006,29,14:30,y,0.38978441997885555
2026-06-14,DHNC0006,30,15:00,y,0.38978441997885555
2026-06-14,DHNC0006,35,17:30,y,0.38978441997885555
2026-06-14,DHNC0006,36,18:00,y,0.38978441997885555
2026-06-14,DHNC0006,37,18:30,y,0.38978441997885555
2026-06-14,DHNC0006,41,20:30,y,0.38978441997885555
2026-06-14,DHNC0006,44,22:00,y,0.38978441997885555
2026-06-14,DHNC0006,47,23:30,y,0.38978441997885555
2026-06-14,DHNC0007,1,00:30,y,0.32257640996409576
2026-06-14,DHNC0007,4,02:00,y,0.32257640996409576
2026-06-14,DHNC0007,5,02:30,y,0.32257640996409576
2026-06-14,DHNC0007,10,05:00,y,0.32257640996409576
2026-06-14,DHNC0007,11,05:30,y,0.32257640996409576
2026-06-14,DHNC0007,15,07:30,y,0.32257640996409576
2026-06-14,DHNC0007,16,08:00,y,0.32257640996409576
2026-06-14,DHNC0007,17,08:30,y,0.32257640996409576
2026-06-14,DHNC0007,18,09:00,y,0.32257640996409576
2026-06-14,DHNC0007,20,10:00,y,0.32257640996409576
2026-06-14,DHNC0007,24,12:00,y,0.32257640996409576
2026-06-14,DHNC0007,26,13:00,y,0.32257640996409576
2026-06-14,DHNC0007,34,17:00,y,0.32257640996409576
2026-06-14,DHNC0007,35,17:30,y,0.32257640996409576
2026-06-14,DHNC0007,36,18:00,y,0.32257640996409576
2026-06-14,DHNC0007,37,18:30,y,0.32257640996409576
2026-06-14,DHNC0007,38,19:00,y,0.32257640996409576
2026-06-14,DHNC0007,39,19:30,y,0.0012977939613470363
2026-06-14,DHNC0007,41,20:30,y,0.32257640996409576
2026-06-14,DHNC0007,43,21:30,y,0.32257640996409576
2026-06-14,DHNC0007,44,22:00,y,0.32257640996409576
2026-06-14,DHNC0007,45,22:30,y,0.32257640996409576
2026-06-14,DHNC0007,46,23:00,y,0.32257640996409576
2026-06-14,DHNC0007,47,23:30,y,0.32257640996409576
2026-06-14,DHNC0008,0,00:00,y,0.39434358339972053
2026-06-14,DHNC0008,1,00:30,y,0.39434358339972053
2026-06-14,DHNC0008,3,01:30,y,0.39434358339972053
2026-06-14,DHNC0008,5,02:30,y,0.39434358339972053
2026-06-14,DHNC0008,8,04:00,y,0.39434358339972053
2026-06-14,DHNC0008,10,05:00,y,0.39434358339972053
2026-06-14,DHNC0008,11,05:30,y,0.39434358339972053
2026-06-14,DHNC0008,12,06:00,y,0.39434358339972053
2026-06-14,DHNC0008,15,07:30,y,0.39434358339972053
2026-06-14,DHNC0008,17,08:30,y,0.39434358339972053
2026-06-14,DHNC0008,18,09:00,y,0.39434358339972053
2026-06-14,DHNC0008,19,09:30,y,0.39434358339972053
2026-06-14,DHNC0008,21,10:30,y,0.2135689076140616
2026-06-14,DHNC0008,26,13:00,y,0.39434358339972053
2026-06-14,DHNC0008,29,14:30,y,0.39434358339972053
2026-06-14,DHNC0008,30,15:00,y,0.39434358339972053
2026-06-14,DHNC0008,34,17:00,y,0.39434358339972053
2026-06-14,DHNC0008,35,17:30,y,0.39434358339972053
2026-06-14,DHNC0008,38,19:00,y,0.39434358339972053
2026-06-14,DHNC0008,41,20:30,y,0.39434358339972053
2026-06-14,DHNC0008,43,21:30,y,0.39434358339972053
2026-06-14,DHNC0008,44,22:00,y,0.39434358339972053
2026-06-14,DHNC0008,46,23:00,y,0.39434358339972053
2026-06-14,DHNC0008,47,23:30,y,0.39434358339972053
2026-06-14,DHNC0011,1,00:30,y,0.42214941277038187
2026-06-14,DHNC0011,4,02:00,y,0.42214941277038187
2026-06-14,DHNC0011,8,04:00,y,0.42214941277038187
2026-06-14,DHNC0011,12,06:00,y,0.42214941277038187
2026-06-14,DHNC0011,18,09:00,y,0.3816595114616566
2026-06-14,DHNC0011,20,10:00,y,0.42214941277038187
2026-06-14,DHNC0011,29,14:30,y,0.42214941277038187
2026-06-14,DHNC0011,30,15:00,y,0.42214941277038187
2026-06-14,DHNC0011,34,17:00,y,0.42214941277038187
2026-06-14,DHNC0011,35,17:30,y,0.42214941277038187
2026-06-14,DHNC0011,44,22:00,y,0.42214941277038187
2026-06-14,DHNC0011,47,23:30,y,0.42214941277038187
2026-06-14,DHNC0012,0,00:00,y,0.4954218525619628
2026-06-14,DHNC0012,3,01:30,y,0.4954218525619628
2026-06-14,DHNC0012,4,02:00,y,0.4954218525619628
2026-06-14,DHNC0012,9,04:30,y,0.4954218525619628
2026-06-14,DHNC0012,10,05:00,y,0.4954218525619628
2026-06-14,DHNC0012,12,06:00,y,0.4954218525619628
2026-06-14,DHNC0012,13,06:30,y,0.4954218525619628
2026-06-14,DHNC0012,14,07:00,y,0.4954218525619628
2026-06-14,DHNC0012,15,07:30,y,0.4954218525619628
2026-06-14,DHNC0012,21,10:30,y,0.4954218525619628
2026-06-14,DHNC0012,22,11:00,y,0.4954218525619628
2026-06-14,DHNC0012,24,12:00,y,0.4954218525619628
2026-06-14,DHNC0012,30,15:00,y,0.4954218525619628
2026-06-14,DHNC0012,34,17:00,y,0.4954218525619628
2026-06-14,DHNC0012,35,17:30,y,0.4954218525619628
2026-06-14,DHNC0012,36,18:00,y,0.4954218525619628
2026-06-14,DHNC0012,37,18:30,y,0.4954218525619628
2026-06-14,DHNC0012,38,19:00,y,0.4954218525619628
2026-06-14,DHNC0012,41,20:30,y,0.4954218525619628
2026-06-14,DHNC0012,42,21:00,y,0.244194790204188
2026-06-14,DHNC0012,43,21:30,y,0.4954218525619628
2026-06-14,DHNC0012,44,22:00,y,0.4954218525619628
2026-06-14,DHNC0012,46,23:00,y,0.4954218525619628
2026-06-14,DHNC0012,47,23:30,y,0.4954218525619628
2026-06-14,DHNC0014,1,00:30,y,0.46319268472055414
2026-06-14,DHNC0014,3,01:30,y,0.46319268472055414
2026-06-14,DHNC0014,5,02:30,y,0.46319268472055414
2026-06-14,DHNC0014,6,03:00,y,0.46319268472055414
2026-06-14,DHNC0014,7,03:30,y,0.46319268472055414
2026-06-14,DHNC0014,8,04:00,y,0.46319268472055414
2026-06-14,DHNC0014,10,05:00,y,0.46319268472055414
2026-06-14,DHNC0014,11,05:30,y,0.46319268472055414
2026-06-14,DHNC0014,14,07:00,y,0.46319268472055414
2026-06-14,DHNC0014,16,08:00,y,0.46319268472055414
2026-06-14,DHNC0014,17,08:30,y,0.46319268472055414
2026-06-14,DHNC0014,18,09:00,y,0.46319268472055414
2026-06-14,DHNC0014,19,09:30,y,0.46319268472055414
2026-06-14,DHNC0014,20,10:00,y,0.46319268472055414
2026-06-14,DHNC0014,21,10:30,y,0.46319268472055414
2026-06-14,DHNC0014,29,14:30,y,0.46319268472055414
2026-06-14,DHNC0014,30,15:00,y,0.46319268472055414
2026-06-14,DHNC0014,34,17:00,y,0.46319268472055414
2026-06-14,DHNC0014,35,17:30,y,0.46319268472055414
2026-06-14,DHNC0014,37,18:30,y,0.46319268472055414
2026-06-14,DHNC0014,44,22:00,y,0.46319268472055414
2026-06-14,DHNC0014,46,23:00,y,0.18852582373261487
2026-06-14,DHNC0014,47,23:30,y,0.46319268472055414
2026-06-14,DHNC0015,3,01:30,y,0.5204410757988093
2026-06-14,DHNC0015,4,02:00,y,0.5204410757988093
2026-06-14,DHNC0015,6,03:00,y,0.029042211335857156
2026-06-14,DHNC0015,10,05:00,y,0.5204410757988093
2026-06-14,DHNC0015,11,05:30,y,0.5204410757988093
2026-06-14,DHNC0015,15,07:30,y,0.5204410757988093
2026-06-14,DHNC0015,19,09:30,y,0.5204410757988093
2026-06-14,DHNC0015,20,10:00,y,0.5204410757988093
2026-06-14,DHNC0015,29,14:30,y,0.5204410757988093
2026-06-14,DHNC0015,35,17:30,y,0.5204410757988093
2026-06-14,DHNC0015,41,20:30,y,0.5204410757988093
2026-06-14,DHNC0015,44,22:00,y,0.5204410757988093
2026-06-14,DHNC0015,47,23:30,y,0.5204410757988093
2026-06-14,DHNC0016,1,00:30,y,0.4116945400745224
2026-06-14,DHNC0016,3,01:30,y,0.4116945400745224
2026-06-14,DHNC0016,4,02:00,y,0.4116945400745224
2026-06-14,DHNC0016,7,03:30,y,0.4116945400745224
2026-06-14,DHNC0016,10,05:00,y,0.4116945400745224
2026-06-14,DHNC0016,11,05:30,y,0.4116945400745224
2026-06-14,DHNC0016,12,06:00,y,0.4116945400745224
2026-06-14,DHNC0016,13,06:30,y,0.4116945400745224
2026-06-14,DHNC0016,14,07:00,y,0.4116945400745224
2026-06-14,DHNC0016,17,08:30,y,0.4116945400745224
2026-06-14,DHNC0016,19,09:30,y,0.4116945400745224
2026-06-14,DHNC0016,20,10:00,y,0.4116945400745224
2026-06-14,DHNC0016,21,10:30,y,0.4116945400745224
2026-06-14,DHNC0016,22,11:00,y,0.4116945400745224
2026-06-14,DHNC0016,24,12:00,y,0.4116945400745224
2026-06-14,DHNC0016,30,15:00,y,0.4116945400745224
2026-06-14,DHNC0016,34,17:00,y,0.4116945400745224
2026-06-14,DHNC0016,35,17:30,y,0.4116945400745224
2026-06-14,DHNC0016,37,18:30,y,0.4116945400745224
2026-06-14,DHNC0016,38,19:00,y,0.4116945400745224
2026-06-14,DHNC0016,41,20:30,y,0.4116945400745224
2026-06-14,DHNC0016,42,21:00,y,0.3277547386036647
2026-06-14,DHNC0016,43,21:30,y,0.4116945400745224
2026-06-14,DHNC0016,44,22:00,y,0.4116945400745224
2026-06-14,DHNC0016,45,22:30,y,0.4116945400745224
2026-06-14,DHNC0016,47,23:30,y,0.4116945400745224
2026-06-14,DHNC0018,1,00:30,y,0.4889921616896839
2026-06-14,DHNC0018,3,01:30,y,0.4889921616896839
2026-06-14,DHNC0018,7,03:30,y,0.4889921616896839
2026-06-14,DHNC0018,10,05:00,y,0.4889921616896839
2026-06-14,DHNC0018,15,07:30,y,0.4889921616896839
2026-06-14,DHNC0018,16,08:00,y,0.4889921616896839
2026-06-14,DHNC0018,19,09:30,y,0.4889921616896839
2026-06-14,DHNC0018,22,11:00,y,0.4889921616896839
2026-06-14,DHNC0018,24,12:00,y,0.4889921616896839
2026-06-14,DHNC0018,34,17:00,y,0.4889921616896839
2026-06-14,DHNC0018,35,17:30,y,0.4889921616896839
2026-06-14,DHNC0018,36,18:00,y,0.4889921616896839
2026-06-14,DHNC0018,37,18:30,y,0.4889921616896839
2026-06-14,DHNC0018,38,19:00,y,0.4889921616896839
2026-06-14,DHNC0018,39,19:30,y,0.4889921616896839
2026-06-14,DHNC0018,41,20:30,y,0.4889921616896839
2026-06-14,DHNC0018,43,21:30,y,0.4889921616896839
2026-06-14,DHNC0018,44,22:00,y,0.4889921616896839
2026-06-14,DHNC0018,46,23:00,y,0.4575757864997229
2026-06-14,DHNC0018,47,23:30,y,0.4889921616896839
2026-06-14,DHNC0019,0,00:00,y,0.40224982004657134
2026-06-14,DHNC0019,1,00:30,y,0.40224982004657134
2026-06-14,DHNC0019,3,01:30,y,0.40224982004657134
2026-06-14,DHNC0019,6,03:00,y,0.40224982004657134
2026-06-14,DHNC0019,8,04:00,y,0.40224982004657134
2026-06-14,DHNC0019,9,04:30,y,0.40224982004657134
2026-06-14,DHNC0019,11,05:30,y,0.40224982004657134
2026-06-14,DHNC0019,12,06:00,y,0.40224982004657134
2026-06-14,DHNC0019,14,07:00,y,0.40224982004657134
2026-06-14,DHNC0019,15,07:30,y,0.40224982004657134
2026-06-14,DHNC0019,17,08:30,y,0.40224982004657134
2026-06-14,DHNC0019,18,09:00,y,0.40224982004657134
2026-06-14,DHNC0019,20,10:00,y,0.40224982004657134
2026-06-14,DHNC0019,23,11:30,y,0.40224982004657134
2026-06-14,DHNC0019,26,13:00,y,0.32399196919047346
2026-06-14,DHNC0019,29,14:30,y,0.40224982004657134
2026-06-14,DHNC0019,31,15:30,y,0.40224982004657134
2026-06-14,DHNC0019,35,17:30,y,0.40224982004657134
2026-06-14,DHNC0019,36,18:00,y,0.40224982004657134
2026-06-14,DHNC0019,37,18:30,y,0.40224982004657134
2026-06-14,DHNC0019,41,20:30,y,0.40224982004657134
2026-06-14,DHNC0019,42,21:00,y,0.40224982004657134
2026-06-14,DHNC0019,43,21:30,y,0.40224982004657134
2026-06-14,DHNC0019,44,22:00,y,0.40224982004657134
2026-06-14,DHNC0019,46,23:00,y,0.40224982004657134
2026-06-14,DHNC0019,47,23:30,y,0.40224982004657134
2026-06-14,DHNC0021,1,00:30,y,0.40858818138727016
2026-06-14,DHNC0021,6,03:00,y,0.40858818138727016
2026-06-14,DHNC0021,7,03:30,y,0.40858818138727016
2026-06-14,DHNC0021,10,05:00,y,0.40858818138727016
2026-06-14,DHNC0021,11,05:30,y,0.40858818138727016
2026-06-14,DHNC0021,17,08:30,y,0.40858818138727016
2026-06-14,DHNC0021,20,10:00,y,0.40858818138727016
2026-06-14,DHNC0021,22,11:00,y,0.40858818138727016
2026-06-14,DHNC0021,34,17:00,y,0.40858818138727016
2026-06-14,DHNC0021,35,17:30,y,0.40858818138727016
2026-06-14,DHNC0021,41,20:30,y,0.0783755715290345
2026-06-14,DHNC0021,44,22:00,y,0.40858818138727016
2026-06-14,DHNC0023,1,00:30,y,0.3662078765911866
2026-06-14,DHNC0023,10,05:00,y,0.3662078765911866
2026-06-14,DHNC0023,14,07:00,y,0.3662078765911866
2026-06-14,DHNC0023,16,08:00,y,0.3662078765911866
2026-06-14,DHNC0023,18,09:00,y,0.3662078765911866
2026-06-14,DHNC0023,24,12:00,y,0.3662078765911866
2026-06-14,DHNC0023,26,13:00,y,0.3662078765911866
2026-06-14,DHNC0023,29,14:30,y,0.3662078765911866
2026-06-14,DHNC0023,30,15:00,y,0.3662078765911866
2026-06-14,DHNC0023,33,16:30,y,0.33615435116050096
2026-06-14,DHNC0023,35,17:30,y,0.3662078765911866
2026-06-14,DHNC0023,36,18:00,y,0.3662078765911866
2026-06-14,DHNC0023,37,18:30,y,0.3662078765911866
2026-06-14,DHNC0023,38,19:00,y,0.3662078765911866
2026-06-14,DHNC0023,41,20:30,y,0.3662078765911866
2026-06-14,DHNC0023,43,21:30,y,0.3662078765911866
2026-06-14,DHNC0023,44,22:00,y,0.3662078765911866
2026-06-14,DHNC0023,45,22:30,y,0.3662078765911866
2026-06-14,DHNC0023,46,23:00,y,0.3662078765911866
2026-06-14,DHNC0023,47,23:30,y,0.3662078765911866
2026-06-14,DHNC0024,0,00:00,y,0.3505733907306898
2026-06-14,DHNC0024,1,00:30,y,0.3505733907306898
2026-06-14,DHNC0024,2,01:00,y,0.3505733907306898
2026-06-14,DHNC0024,4,02:00,y,0.3505733907306898
2026-06-14,DHNC0024,5,02:30,y,0.3505733907306898
2026-06-14,DHNC0024,6,03:00,y,0.3505733907306898
2026-06-14,DHNC0024,8,04:00,y,0.3505733907306898
2026-06-14,DHNC0024,13,06:30,y,0.3505733907306898
2026-06-14,DHNC0024,14,07:00,y,0.3505733907306898
2026-06-14,DHNC0024,20,10:00,y,0.3505733907306898
2026-06-14,DHNC0024,24,12:00,y,0.3505733907306898
2026-06-14,DHNC0024,26,13:00,y,0.3505733907306898
2026-06-14,DHNC0024,28,14:00,y,0.3505733907306898
2026-06-14,DHNC0024,29,14:30,y,0.3505733907306898
2026-06-14,DHNC0024,33,16:30,y,0.3505733907306898
2026-06-14,DHNC0024,34,17:00,y,0.3505733907306898
2026-06-14,DHNC0024,36,18:00,y,0.3505733907306898
2026-06-14,DHNC0024,37,18:30,y,0.3505733907306898
2026-06-14,DHNC0024,39,19:30,y,0.3505733907306898
2026-06-14,DHNC0024,40,20:00,y,0.3505733907306898
2026-06-14,DHNC0024,41,20:30,y,0.3505733907306898
2026-06-14,DHNC0024,42,21:00,y,0.3505733907306898
2026-06-14,DHNC0024,43,21:30,y,0.3505733907306898
2026-06-14,DHNC0024,44,22:00,y,0.3505733907306898
2026-06-14,DHNC0024,45,22:30,y,0.3505733907306898
2026-06-14,DHNC0024,46,23:00,y,0.3505733907306898
2026-06-14,DHNC0025,6,03:00,y,0.40768669340742064
2026-06-14,DHNC0025,7,03:30,y,0.40768669340742064
