alpha_repool,n_days,n_repooled,n_reused,pct_reused
0.001,30,27,3,10.0
0.005,30,21,9,30.0
0.01,30,19,11,36.666666666666664
0.02,30,15,15,50.0
0.03,30,15,15,50.0
0.05,30,15,15,50.0
