n_total,n_acting,n_topn,hits,precision,baseline_random,lift,date,precision_random_draw,precision_mean_relative,precision_no_phi2,precision_nextday,precision_nextday_random,precision_nextday_lift
6250,1563,52,52,1.0,0.25008,3.9987204094689695,2026-06-14,0.36538461538461536,1.0,0.7307692307692307,1.0,0.24816,4.029658284977434
6250,1551,52,52,1.0,0.24816,4.029658284977434,2026-06-15,0.34615384615384615,1.0,0.7307692307692307,0.9615384615384616,0.23232,4.138853570671753
6250,1452,52,52,1.0,0.23232,4.304407713498622,2026-06-16,0.34615384615384615,1.0,0.7307692307692307,1.0,0.26816,3.7291169451073984
6250,1676,52,52,1.0,0.26816,3.7291169451073984,2026-06-17,0.4230769230769231,1.0,0.6538461538461539,1.0,0.24384,4.101049868766404
6250,1524,52,52,1.0,0.24384,4.101049868766404,2026-06-18,0.34615384615384615,1.0,0.7307692307692307,0.9615384615384616,0.2224,4.323464305478694
6250,1390,52,52,1.0,0.2224,4.496402877697842,2026-06-19,0.3269230769230769,1.0,0.7307692307692307,1.0,0.2528,3.9556962025316453
6250,1580,52,52,1.0,0.2528,3.9556962025316453,2026-06-20,0.40384615384615385,1.0,0.6538461538461539,1.0,0.25056,3.991060025542784
6250,1566,52,52,1.0,0.25056,3.991060025542784,2026-06-21,0.36538461538461536,1.0,0.7307692307692307,1.0,0.24624,4.061078622482132
6250,1539,52,52,1.0,0.24624,4.061078622482132,2026-06-22,0.36538461538461536,1.0,0.7307692307692307,0.9615384615384616,0.25408,3.784392559581477
6250,1588,52,52,1.0,0.25408,3.935768261964736,2026-06-23,0.40384615384615385,1.0,0.6538461538461539,1.0,0.26832,3.7268932617769828
6250,1677,52,52,1.0,0.26832,3.7268932617769828,2026-06-24,0.4230769230769231,1.0,0.6538461538461539,1.0,0.24624,4.061078622482132
6250,1539,52,52,1.0,0.24624,4.061078622482132,2026-06-25,0.36538461538461536,1.0,0.7307692307692307,0.9615384615384616,0.24176,3.9772438018632594
6250,1511,52,52,1.0,0.24176,4.1363335539377895,2026-06-26,0.40384615384615385,1.0,0.6538461538461539,1.0,0.25968,3.8508934072704863
6250,1623,52,52,1.0,0.25968,3.8508934072704863,2026-06-27,0.40384615384615385,1.0,0.6538461538461539,1.0,0.27424,3.646441073512252
6250,1714,52,52,1.0,0.27424,3.646441073512252,2026-06-28,0.4807692307692308,1.0,0.6730769230769231,1.0,0.27472,3.6400698893418753
6250,1717,52,52,1.0,0.27472,3.6400698893418753,2026-06-29,0.4807692307692308,1.0,0.6730769230769231,1.0,0.2864,3.4916201117318435
6250,1790,52,52,1.0,0.2864,3.4916201117318435,2026-06-30,0.5,1.0,0.6730769230769231,1.0,0.30096,3.3227006911217436
6250,1881,52,52,1.0,0.30096,3.3227006911217436,2026-07-01,0.5,1.0,0.7307692307692307,1.0,0.29888,3.345824411134904
6250,1868,52,52,1.0,0.29888,3.345824411134904,2026-07-02,0.5,1.0,0.7307692307692307,1.0,0.27072,3.6938534278959807
6250,1692,52,52,1.0,0.27072,3.6938534278959807,2026-07-03,0.4230769230769231,1.0,0.6730769230769231,1.0,0.28352,3.5270880361173815
6250,1772,52,52,1.0,0.28352,3.5270880361173815,2026-07-04,0.4807692307692308,1.0,0.6730769230769231,1.0,0.30432,3.286014721345952
6250,1902,52,52,1.0,0.30432,3.286014721345952,2026-07-05,0.5,1.0,0.7307692307692307,1.0,0.30096,3.3227006911217436
6250,1881,52,52,1.0,0.30096,3.3227006911217436,2026-07-06,0.5,1.0,0.7307692307692307,1.0,0.2968,3.3692722371967654
6250,1855,52,52,1.0,0.2968,3.3692722371967654,2026-07-07,0.4807692307692308,1.0,0.7307692307692307,1.0,0.28144,3.553155201819215
6250,1759,52,52,1.0,0.28144,3.553155201819215,2026-07-08,0.38461538461538464,1.0,0.7307692307692307,1.0,0.2768,3.6127167630057806
6250,1730,52,52,1.0,0.2768,3.6127167630057806,2026-07-09,0.38461538461538464,1.0,0.7307692307692307,1.0,0.2512,3.980891719745223
6250,1570,52,52,1.0,0.2512,3.980891719745223,2026-07-10,0.36538461538461536,1.0,0.7307692307692307,1.0,0.27136,3.6851415094339623
6250,1696,52,52,1.0,0.27136,3.6851415094339623,2026-07-11,0.38461538461538464,1.0,0.7307692307692307,1.0,0.28144,3.553155201819215
6250,1759,52,52,1.0,0.28144,3.553155201819215,2026-07-12,0.38461538461538464,1.0,0.7307692307692307,1.0,0.28016,3.5693889206167904
6250,1751,52,52,1.0,0.28016,3.5693889206167904,2026-07-13,0.38461538461538464,1.0,0.7307692307692307,,,
