n_total,n_acting,n_topn,hits,precision,baseline_random,lift,date,precision_random_draw,precision_mean_relative,precision_no_phi2,precision_nextday,precision_nextday_random,precision_nextday_lift,precision_nextday_persistence,precision_nextday_persistence_lift
6250,803,52,52,1.0,0.12848,7.783312577833125,2026-06-14,0.1346153846153846,1.0,0.3269230769230769,1.0,0.12928,7.735148514851485,1.0,7.735148514851485
6250,808,52,52,1.0,0.12928,7.735148514851485,2026-06-15,0.1346153846153846,1.0,0.3269230769230769,1.0,0.12096,8.267195767195767,0.9230769230769231,7.631257631257632
6250,756,52,52,1.0,0.12096,8.267195767195767,2026-06-16,0.1346153846153846,1.0,0.2692307692307692,1.0,0.1832,5.458515283842795,1.0,5.458515283842795
6250,1145,52,52,1.0,0.1832,5.458515283842795,2026-06-17,0.21153846153846154,1.0,0.5769230769230769,0.7307692307692307,0.12928,5.652608530083777,0.7307692307692307,5.652608530083777
6250,808,52,52,1.0,0.12928,7.735148514851485,2026-06-18,0.1346153846153846,1.0,0.3269230769230769,1.0,0.11504,8.692628650904034,0.9230769230769231,8.0239649085268
6250,719,52,52,1.0,0.11504,8.692628650904034,2026-06-19,0.1346153846153846,1.0,0.2692307692307692,1.0,0.16912,5.912961210974457,0.9807692307692307,5.799250418455716
6250,1057,52,52,1.0,0.16912,5.912961210974457,2026-06-20,0.21153846153846154,1.0,0.5192307692307693,0.7115384615384616,0.1304,5.456583294006608,0.7692307692307693,5.89900896649363
6250,815,52,52,1.0,0.1304,7.668711656441719,2026-06-21,0.1346153846153846,1.0,0.3269230769230769,0.9615384615384616,0.12848,7.48395440176262,1.0,7.783312577833125
6250,803,52,52,1.0,0.12848,7.783312577833125,2026-06-22,0.1346153846153846,1.0,0.3269230769230769,1.0,0.1736,5.76036866359447,1.0,5.76036866359447
6250,1085,52,52,1.0,0.1736,5.76036866359447,2026-06-23,0.21153846153846154,1.0,0.5769230769230769,1.0,0.18256,5.4776511831726555,1.0,5.4776511831726555
6250,1141,52,52,1.0,0.18256,5.4776511831726555,2026-06-24,0.21153846153846154,1.0,0.5769230769230769,0.7307692307692307,0.1304,5.604058518168948,0.7115384615384616,5.456583294006608
6250,815,52,52,1.0,0.1304,7.668711656441719,2026-06-25,0.1346153846153846,1.0,0.3269230769230769,1.0,0.15792,6.332320162107396,0.9230769230769231,5.845218611176058
6250,987,52,52,1.0,0.15792,6.332320162107396,2026-06-26,0.19230769230769232,1.0,0.5192307692307693,1.0,0.18608,5.374032674118658,1.0,5.374032674118658
6250,1163,52,52,1.0,0.18608,5.374032674118658,2026-06-27,0.21153846153846154,1.0,0.5769230769230769,1.0,0.1856,5.387931034482759,1.0,5.387931034482759
6250,1160,52,52,1.0,0.1856,5.387931034482759,2026-06-28,0.21153846153846154,1.0,0.5769230769230769,1.0,0.1848,5.411255411255412,1.0,5.411255411255412
6250,1155,52,52,1.0,0.1848,5.411255411255412,2026-06-29,0.21153846153846154,1.0,0.5769230769230769,1.0,0.18144,5.511463844797178,1.0,5.511463844797178
6250,1134,52,52,1.0,0.18144,5.511463844797178,2026-06-30,0.21153846153846154,1.0,0.5769230769230769,1.0,0.29264,3.417167851284855,1.0,3.417167851284855
6250,1829,52,52,1.0,0.29264,3.417167851284855,2026-07-01,0.3076923076923077,1.0,0.7884615384615384,1.0,0.29264,3.417167851284855,1.0,3.417167851284855
6250,1829,52,52,1.0,0.29264,3.417167851284855,2026-07-02,0.3076923076923077,1.0,0.7884615384615384,0.8846153846153846,0.18032,4.9058084772370485,0.5769230769230769,3.199440311241553
6250,1127,52,52,1.0,0.18032,5.545696539485359,2026-07-03,0.21153846153846154,1.0,0.5769230769230769,1.0,0.18144,5.511463844797178,1.0,5.511463844797178
6250,1134,52,52,1.0,0.18144,5.511463844797178,2026-07-04,0.21153846153846154,1.0,0.5769230769230769,1.0,0.29264,3.417167851284855,1.0,3.417167851284855
6250,1829,52,52,1.0,0.29264,3.417167851284855,2026-07-05,0.3076923076923077,1.0,0.7884615384615384,1.0,0.29264,3.417167851284855,1.0,3.417167851284855
6250,1829,52,52,1.0,0.29264,3.417167851284855,2026-07-06,0.3076923076923077,1.0,0.7884615384615384,1.0,0.29264,3.417167851284855,1.0,3.417167851284855
6250,1829,52,52,1.0,0.29264,3.417167851284855,2026-07-07,0.3076923076923077,1.0,0.7884615384615384,0.75,0.23824,3.1480859637340495,0.7884615384615384,3.309526269566565
6250,1489,52,52,1.0,0.23824,4.197447951645399,2026-07-08,0.23076923076923078,1.0,0.7884615384615384,1.0,0.23824,4.197447951645399,1.0,4.197447951645399
6250,1489,52,52,1.0,0.23824,4.197447951645399,2026-07-09,0.23076923076923078,1.0,0.7884615384615384,0.4423076923076923,0.12768,3.4641893194524775,0.5961538461538461,4.669124734914209
6250,798,52,52,1.0,0.12768,7.832080200501254,2026-07-10,0.1346153846153846,1.0,0.3269230769230769,1.0,0.23824,4.197447951645399,1.0,4.197447951645399
6250,1489,52,52,1.0,0.23824,4.197447951645399,2026-07-11,0.23076923076923078,1.0,0.7884615384615384,1.0,0.23824,4.197447951645399,1.0,4.197447951645399
6250,1489,52,52,1.0,0.23824,4.197447951645399,2026-07-12,0.23076923076923078,1.0,0.7884615384615384,1.0,0.23824,4.197447951645399,1.0,4.197447951645399
6250,1489,52,52,1.0,0.23824,4.197447951645399,2026-07-13,0.23076923076923078,1.0,0.7884615384615384,,,,,
