alpha_repool,n_days,n_repooled,n_reused,pct_reused
0.001,30,18,12,40.0
0.005,30,17,13,43.333333333333336
0.01,30,16,14,46.666666666666664
0.02,30,16,14,46.666666666666664
0.03,30,16,14,46.666666666666664
0.05,30,16,14,46.666666666666664
