n_total,n_acting,n_topn,hits,precision,baseline_random,lift,date,precision_random_draw,precision_mean_relative,precision_no_phi2,precision_nextday,precision_nextday_random,precision_nextday_lift,precision_nextday_persistence,precision_nextday_persistence_lift
6250,1551,52,52,1.0,0.24816,4.029658284977434,2026-06-14,0.38461538461538464,1.0,0.7307692307692307,1.0,0.24656,4.055807916937054,1.0,4.055807916937054
6250,1541,52,52,1.0,0.24656,4.055807916937054,2026-06-15,0.36538461538461536,1.0,0.7307692307692307,1.0,0.23232,4.304407713498622,1.0,4.304407713498622
6250,1452,52,52,1.0,0.23232,4.304407713498622,2026-06-16,0.36538461538461536,1.0,0.7307692307692307,1.0,0.248,4.032258064516129,1.0,4.032258064516129
6250,1550,52,52,1.0,0.248,4.032258064516129,2026-06-17,0.38461538461538464,1.0,0.6153846153846154,1.0,0.24176,4.1363335539377895,1.0,4.1363335539377895
6250,1511,52,52,1.0,0.24176,4.1363335539377895,2026-06-18,0.34615384615384615,1.0,0.7307692307692307,1.0,0.2232,4.480286738351254,0.9807692307692307,4.394127377998346
6250,1395,52,52,1.0,0.2232,4.480286738351254,2026-06-19,0.34615384615384615,1.0,0.7307692307692307,1.0,0.2344,4.266211604095563,1.0,4.266211604095563
6250,1465,52,52,1.0,0.2344,4.266211604095563,2026-06-20,0.36538461538461536,1.0,0.6153846153846154,1.0,0.24896,4.0167095115681235,1.0,4.0167095115681235
6250,1556,52,52,1.0,0.24896,4.0167095115681235,2026-06-21,0.38461538461538464,1.0,0.7307692307692307,1.0,0.24336,4.10913872452334,1.0,4.10913872452334
6250,1521,52,52,1.0,0.24336,4.10913872452334,2026-06-22,0.36538461538461536,1.0,0.7307692307692307,1.0,0.23728,4.214430209035738,1.0,4.214430209035738
6250,1483,52,52,1.0,0.23728,4.214430209035738,2026-06-23,0.36538461538461536,1.0,0.6346153846153846,1.0,0.25248,3.960709759188847,1.0,3.960709759188847
6250,1578,52,52,1.0,0.25248,3.960709759188847,2026-06-24,0.40384615384615385,1.0,0.6346153846153846,1.0,0.24384,4.101049868766404,1.0,4.101049868766404
6250,1524,52,52,1.0,0.24384,4.101049868766404,2026-06-25,0.36538461538461536,1.0,0.7307692307692307,1.0,0.23104,4.32825484764543,1.0,4.32825484764543
6250,1444,52,52,1.0,0.23104,4.32825484764543,2026-06-26,0.4230769230769231,1.0,0.6346153846153846,1.0,0.24256,4.12269129287599,0.9807692307692307,4.0434087680129895
6250,1516,52,52,1.0,0.24256,4.12269129287599,2026-06-27,0.36538461538461536,1.0,0.6346153846153846,1.0,0.25824,3.8723667905824035,1.0,3.8723667905824035
6250,1614,52,52,1.0,0.25824,3.8723667905824035,2026-06-28,0.4423076923076923,1.0,0.6346153846153846,1.0,0.2584,3.869969040247678,1.0,3.869969040247678
6250,1615,52,52,1.0,0.2584,3.869969040247678,2026-06-29,0.4423076923076923,1.0,0.6346153846153846,1.0,0.27264,3.6678403755868545,1.0,3.6678403755868545
6250,1704,52,52,1.0,0.27264,3.6678403755868545,2026-06-30,0.4423076923076923,1.0,0.6538461538461539,1.0,0.27584,3.6252900232018566,1.0,3.6252900232018566
6250,1724,52,52,1.0,0.27584,3.6252900232018566,2026-07-01,0.4423076923076923,1.0,0.7307692307692307,1.0,0.27328,3.6592505854800934,1.0,3.6592505854800934
6250,1708,52,52,1.0,0.27328,3.6592505854800934,2026-07-02,0.4423076923076923,1.0,0.7307692307692307,1.0,0.25632,3.9013732833957553,0.9230769230769231,3.6012676462114666
6250,1602,52,52,1.0,0.25632,3.9013732833957553,2026-07-03,0.4423076923076923,1.0,0.6346153846153846,1.0,0.26832,3.7268932617769828,1.0,3.7268932617769828
6250,1677,52,52,1.0,0.26832,3.7268932617769828,2026-07-04,0.4423076923076923,1.0,0.6346153846153846,1.0,0.27856,3.5898908673176337,1.0,3.5898908673176337
6250,1741,52,52,1.0,0.27856,3.5898908673176337,2026-07-05,0.4423076923076923,1.0,0.7307692307692307,1.0,0.2744,3.644314868804665,1.0,3.644314868804665
6250,1715,52,52,1.0,0.2744,3.644314868804665,2026-07-06,0.4423076923076923,1.0,0.7307692307692307,1.0,0.27168,3.6808009422850416,1.0,3.6808009422850416
6250,1698,52,52,1.0,0.27168,3.6808009422850416,2026-07-07,0.4423076923076923,1.0,0.7307692307692307,1.0,0.26944,3.7114014251781473,1.0,3.7114014251781473
6250,1684,52,52,1.0,0.26944,3.7114014251781473,2026-07-08,0.38461538461538464,1.0,0.7307692307692307,1.0,0.26352,3.79477838494232,0.9807692307692307,3.7218018775395825
6250,1647,52,52,1.0,0.26352,3.79477838494232,2026-07-09,0.38461538461538464,1.0,0.7307692307692307,1.0,0.24976,4.003843689942345,0.9615384615384616,3.849849701867639
6250,1561,52,52,1.0,0.24976,4.003843689942345,2026-07-10,0.38461538461538464,1.0,0.7307692307692307,1.0,0.25808,3.8747675139491635,1.0,3.8747675139491635
6250,1613,52,52,1.0,0.25808,3.8747675139491635,2026-07-11,0.38461538461538464,1.0,0.7307692307692307,1.0,0.27008,3.7026066350710902,1.0,3.7026066350710902
6250,1688,52,52,1.0,0.27008,3.7026066350710902,2026-07-12,0.38461538461538464,1.0,0.7307692307692307,1.0,0.26816,3.7291169451073984,1.0,3.7291169451073984
6250,1676,52,52,1.0,0.26816,3.7291169451073984,2026-07-13,0.38461538461538464,1.0,0.7307692307692307,,,,,
