alpha_repool,n_days,n_repooled,n_reused,pct_reused
0.001,30,21,9,30.0
0.005,30,18,12,40.0
0.01,30,18,12,40.0
0.02,30,17,13,43.333333333333336
0.03,30,17,13,43.333333333333336
0.05,30,17,13,43.333333333333336
