substation,period_days,n_representatives,n_connections,n_participating_connections,participation_rate_pct,baseline_energy_kwh,optimised_energy_kwh,energy_saved_kwh,energy_saved_pct,energy_shifted_kwh,energy_curtailed_kwh,bill_baseline_tk,bill_optimised_tk,consumer_saving_tk,consumer_saving_pct,mean_saving_per_connection_tk,median_household_saving_tk,mean_household_bill_tk,mean_household_kwh,total_incentive_paid_tk,n_dr_participants,connections_gained_money,discomfort_tk,net_benefit_tk,peak_reduction_pct_mean,qoe_mean,qoe_min,qoe_violations,operator_cost_tk,retail_revenue_tk,utility_margin_tk_indicative
Dhanmondi,3,400,133812.88110921113,90835.80017418158,67.88270263760789,6503766.874054255,5886725.121657837,617041.7523964178,9.487451877434411,3796.000915664209,617041.7523964179,753374867.1243384,670213121.7338367,83161745.39050174,11.03856114923682,621.4778779228992,280.7774460698678,5630.062374260315,486.0344400436471,1263661.713077317,243,90791.63733141805,13307802.0148984,71117605.08868065,2.217825409003004,0.9172298224605686,0.8499999999999999,0,55154946.44247495,670213121.7338367,615058175.2913617
Kalyanpur,3,400,241879.00768626865,101014.62814647381,41.762461783163815,6642264.104669232,6078340.374966973,563923.7297022585,8.4899323606516,6596.418107628698,563923.729702259,715346846.0373452,642580187.6060482,72766658.43129694,10.172220487779729,300.83908118921835,0.0,2957.4573373692365,274.61102012145847,1691771.1891067768,191,100921.00782789246,11734499.34859657,62723930.271807045,1.8326500830496268,0.9339435298251888,0.8499999999999999,0,50568567.236703366,642580187.6060482,592011620.3693448
