alpha_repool,n_days,n_repooled,n_reused,pct_reused
0.001,30,25,5,16.666666666666668
0.005,30,19,11,36.666666666666664
0.01,30,16,14,46.666666666666664
0.02,30,14,16,53.333333333333336
0.03,30,14,16,53.333333333333336
0.05,30,14,16,53.333333333333336
