substation,period_days,n_representatives,n_connections,n_participating_connections,participation_rate_pct,baseline_energy_kwh,optimised_energy_kwh,energy_saved_kwh,energy_saved_pct,energy_shifted_kwh,energy_curtailed_kwh,bill_baseline_tk,bill_optimised_tk,consumer_saving_tk,consumer_saving_pct,mean_saving_per_connection_tk,median_household_saving_tk,mean_household_bill_tk,mean_household_kwh,total_incentive_paid_tk,n_dr_participants,connections_gained_money,discomfort_tk,net_benefit_tk,peak_reduction_pct_mean,qoe_mean,qoe_min,qoe_violations,operator_cost_tk,retail_revenue_tk,utility_margin_tk_indicative
Dhanmondi,30,400,127659.25485741055,34170.060142571005,26.766614125029456,63434492.74370754,62855508.6024317,578984.141275838,0.9127276285081842,99299.32998538716,578984.1412758296,739372874.3537774,730511885.9625773,8860988.391200066,1.1984465076494317,69.41124951024803,-0.047454675716380734,5791.768682808172,496.90477055158215,739909.711908825,92,4889.117368258343,11951064.70726846,-2350166.6041597025,0.011346346731322938,0.9933501521193357,0.9174341271923494,0,548871936.3745643,730511885.9625773,181639949.58801305
Kalyanpur,30,400,221002.06240130056,30371.19543138174,13.742494120363924,65093121.64351699,64347709.071760446,745412.5717565417,1.1451479863553016,426335.9366328841,745412.5717565387,714351184.0479002,703527371.6141434,10823812.433756828,1.5151948614998092,48.97606979840172,-1.6284015175872355,3232.3281343445797,294.536263310156,1321287.1997837767,97,1590.6816773616636,16633462.002106534,-4488362.368565978,0.06387386087840122,0.9914113871100664,0.88819624385129,0,475178989.0910709,703527371.6141434,228348382.52307248
