date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-14,55914216.815650925,28168043.32927239,27746173.486378536,1869907.4577017212,12000.0,390.21386242504235,15710230.60181048,0.0,12457812.72746191,1830192.540648154,26834.316745431774,0.0,15395566.89115616,0.0,12350606.595222378,0.0,0.00010775254752597089,8000.0,6000.0,0.9839735821785526,0.933268070690634,0.9421245421245421,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,4.3655745685100555e-11,314,0
2026-06-15,56663447.57329373,28943406.438043237,27720041.135250494,1928998.592004524,0.0,0.0,16184298.186917959,0.0,12759108.251125278,1804754.1300659017,28253.521722003636,0.0,15184267.433835922,0.0,12535773.70141457,0.0,0.0,8000.0,5999.999999999999,0.990058262751697,0.8980968995964964,0.9743589743589743,0.8913043478260869,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,2.9103830456733704e-11,312,0
2026-06-16,53345961.63414072,25341711.13423664,28004250.49990408,1530344.7247159388,0.0,1032.2628002960737,12849398.73696954,0.0,12492312.397267103,1834290.9144849423,41675.796097408456,0.0,15452214.46667478,0.0,12552036.0332293,0.0,0.0002828985697976841,8000.0,6000.000000000003,0.7829517956139519,0.9237101266056562,0.7765567765567766,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,2.9103830456733704e-11,294,0
2026-06-17,57463660.35889608,29186514.004400603,28277146.35449547,1948337.031723517,0.0,2114.061646336813,16366631.281800508,0.0,12819882.722600093,1865110.271750513,43683.87295866669,0.0,15713800.989424804,0.0,12563345.365070665,0.0,0.0005793119134046724,8000.0,5999.999999999997,0.9950348768872176,0.9396239785823317,0.9772893772893773,0.9347826086956522,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,4.3655745685100555e-11,345,0
2026-06-18,55463440.71126776,28262011.98414041,27201428.72712735,1862617.6470532436,0.0,0.0,15627362.058776714,0.0,12634649.925363699,1761214.4029994537,16481.600812248624,0.0,14801311.242383791,0.0,12400117.484743562,0.0,0.0,8000.0,6000.0,0.9610850860145514,0.8800652977744716,0.945054945054945,0.8695652173913043,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,2.9103830456733704e-11,303,0
2026-06-19,49473530.12005898,23142395.981592897,26331134.138466083,1330204.8270776733,0.0,0.0,11160418.49918168,0.0,11981977.482411217,1716836.484108945,5667.397141886647,0.0,14412759.197386878,0.0,11918374.941079203,0.0,0.0,8000.0,6000.0,0.6980437668395768,0.8765893435852959,0.6593406593406593,0.8478260869565217,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,2.9103830456733704e-11,271,0
2026-06-20,54974392.760950685,26597621.75645454,28376771.00449615,1622936.807489567,0.0,3182.6775526426545,13646675.251587572,0.0,12950946.504866967,1850940.0313415774,48608.25520376963,0.0,15602299.24576149,0.0,12774471.758734658,0.0,0.0008638706878078561,8000.0,6000.0,0.8096573106701263,0.9240403340180752,0.8205128205128205,0.9347826086956522,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,7.275957614183426e-11,332,0
2026-06-21,57766262.27966067,29604368.457811337,28161893.82184934,1992111.9588053937,798.7406785205353,1222.0120519122945,16726626.5598882,0.0,12877741.897923136,1831744.1122152277,43626.30028697075,0.0,15433772.551916217,0.0,12728121.26993312,0.0,0.00033176907631826533,8000.0,5999.999999999999,1.017464726330321,0.9138456698239537,1.0285714285714285,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,1.4551915228366852e-11,321,0
2026-06-22,55449246.45161453,27960858.522548627,27488387.929065898,1842538.8190798988,0.0,0.0,15458900.692080352,0.0,12501957.830468275,1801220.1380182926,27334.718058567527,0.0,15153239.035061328,0.0,12335148.894004572,0.0,0.0,8000.0,6000.0,0.957906092564557,0.9074357342586847,0.9282051282051282,0.8913043478260869,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,1.4551915228366852e-11,307,0
2026-06-23,55047244.68289458,26300545.396354698,28746699.286539882,1605070.1182273417,0.0,6558.264515685814,13528841.804826412,0.0,12771703.591528287,1883782.9092640507,60471.483131937595,0.0,15895645.833423292,0.0,12851053.453116588,0.0,0.0018090726002097982,8000.0,6000.000000000005,0.8067327871742036,0.9571121161420331,0.8095238095238095,0.9565217391304348,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,2.9103830456733704e-11,348,0
