nodeId,household_id,month,baseline_bill_bdt,optimised_bill_bdt,saving_bdt,saving_pct,energy_kwh,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq,mean_temp_c,max_temp_c,hot_days,mean_humidity_pct,rain_mm,label
BILL_KHH0032_2024_01,KHH0032,2024-01,612.4,528.1,84.3,13.76,75.1,11.27,4.08,38.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0033_2024_01,KHH0033,2024-01,424.3,363.5,60.8,14.32,51.9,6.77,3.5,27.5,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0034_2024_01,KHH0034,2024-01,750.3,674.6,75.6,10.08,95.0,1.35,7.23,31.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0035_2024_01,KHH0035,2024-01,602.4,524.2,78.2,12.98,72.8,19.6,0.06,39.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0036_2024_01,KHH0036,2024-01,746.4,702.7,43.6,5.85,95.4,1.21,4.0,18.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0037_2024_01,KHH0037,2024-01,883.0,808.4,74.6,8.45,111.6,11.59,2.95,35.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0038_2024_01,KHH0038,2024-01,211.7,207.0,4.7,2.21,24.9,0.0,0.48,1.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0039_2024_01,KHH0039,2024-01,866.4,785.9,80.5,9.29,107.2,11.36,3.66,37.3,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0040_2024_01,KHH0040,2024-01,666.9,635.5,31.4,4.71,83.1,0.0,3.23,12.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0041_2024_01,KHH0041,2024-01,2846.7,2617.7,229.0,8.05,174.3,23.64,1.98,55.2,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0042_2024_01,KHH0042,2024-01,1054.3,889.0,165.4,15.68,127.5,26.75,6.11,78.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0043_2024_01,KHH0043,2024-01,1525.3,1421.3,104.1,6.82,185.3,8.25,6.79,80.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0044_2024_01,KHH0044,2024-01,927.0,869.5,57.4,6.2,117.3,5.92,3.5,48.2,17.5,25.6,0,80.6,0.7,MonthlyBill
