date,actual_mw,pred_mw,pred_mw_k1,robust_mw_k1,pred_mw_k2,robust_mw_k2,pred_mw_k3,robust_mw_k3,pred_mw_k4,robust_mw_k4,pred_mw_k5,robust_mw_k5,pred_mw_k6,robust_mw_k6,pred_mw_k7,robust_mw_k7,pred_mw_k8,robust_mw_k8,pred_mw_k9,robust_mw_k9,pred_mw_k10,robust_mw_k10,pred_mw_k11,robust_mw_k11,pred_mw_k12,robust_mw_k12,pred_mw_k13,robust_mw_k13,pred_mw_k14,robust_mw_k14,pred_mw_k15,robust_mw_k15
2019-11-19,81.0,81.416,81.416,94.668,81.263,95.689,81.406,96.588,81.563,97.229,81.202,97.136,81.389,97.598,81.321,97.781,81.151,97.765,81.239,98.001,81.346,98.345,81.106,97.962,80.967,97.843,81.015,97.886,80.934,97.876,80.877,98.068
2019-11-20,75.0,79.004,79.004,92.255,78.888,93.314,79.135,94.317,79.338,95.003,79.028,94.962,79.211,95.421,79.168,95.627,79.044,95.658,79.143,95.905,79.242,96.241,79.044,95.901,78.922,95.798,78.962,95.832,78.884,95.825,78.864,96.055
2019-11-21,69.0,77.371,77.371,90.622,77.302,91.728,77.617,92.799,77.837,93.503,77.592,93.525,77.75,93.959,77.73,94.189,77.646,94.26,77.754,94.515,77.835,94.834,77.688,94.545,77.592,94.468,77.628,94.499,77.555,94.496,77.562,94.752
2019-11-22,81.0,75.059,75.059,88.311,75.091,89.517,75.479,90.661,75.727,91.393,75.585,91.519,75.702,91.911,75.719,92.178,75.718,92.332,75.851,92.613,75.892,92.891,75.829,92.686,75.773,92.649,75.784,92.655,75.736,92.678,75.759,92.95
2019-11-23,78.0,75.417,75.417,88.668,75.462,89.888,75.814,90.996,76.037,91.703,75.911,91.845,76.009,92.218,76.029,92.488,76.025,92.639,76.153,92.914,76.189,93.188,76.136,92.992,76.09,92.966,76.109,92.98,76.069,93.01,76.078,93.269
2019-11-24,81.0,75.656,75.656,88.907,75.692,90.118,76.007,91.189,76.221,91.887,76.082,92.016,76.173,92.382,76.188,92.648,76.171,92.785,76.292,93.053,76.311,93.31,76.278,93.134,76.224,93.1,76.273,93.143,76.227,93.169,76.206,93.397
2019-11-25,78.0,73.773,73.773,87.025,73.878,88.304,74.256,89.438,74.481,90.146,74.421,90.355,74.481,90.691,74.525,90.985,74.566,91.18,74.68,91.442,74.696,91.695,74.714,91.571,74.697,91.573,74.728,91.599,74.698,91.64,74.7,91.891
2019-11-26,81.0,71.153,71.153,84.404,71.343,85.769,71.809,86.991,72.041,87.707,72.082,88.016,72.114,88.323,72.19,88.649,72.306,88.921,72.383,89.144,72.448,89.447,72.497,89.353,72.526,89.402,72.516,89.386,72.513,89.455,72.554,89.744
2019-11-27,84.0,70.214,70.214,83.465,70.413,84.839,70.91,86.091,71.135,86.801,71.182,87.116,71.217,87.427,71.302,87.762,71.457,88.071,71.5,88.262,71.567,88.566,71.631,88.488,71.684,88.56,71.666,88.536,71.656,88.597,71.716,88.907
2019-11-28,78.0,71.268,71.268,84.52,71.391,85.817,71.905,87.087,72.11,87.776,72.092,88.026,72.138,88.348,72.204,88.663,72.304,88.918,72.339,89.1,72.408,89.407,72.429,89.286,72.479,89.355,72.485,89.355,72.42,89.361,72.511,89.702
