substation,horizon_days,r2,rmse,mae,sigma_k_mw,z_beta_sigma_mw
Kalyanpur,1,0.7611327914773974,8.600746420224214,6.619256555331203,10.3402,13.2515
Kalyanpur,2,0.7143327569343515,9.390154712206336,7.236153283265402,11.2567,14.426
Kalyanpur,3,0.6792725580393602,9.932385652846028,7.602915377689983,11.8465,15.182
Kalyanpur,4,0.6523286419109604,10.335679551153854,7.822379621540038,12.2241,15.6658
Kalyanpur,5,0.6324912770948081,10.610171640092126,8.025770868684324,12.4333,15.9339
Kalyanpur,6,0.6163186633307174,10.831578958202583,8.215194398010114,12.6485,16.2097
Kalyanpur,7,0.6080406999552196,10.945166847554725,8.336045868989993,12.8435,16.4596
Kalyanpur,8,0.6063592753610733,10.975448476366907,8.440513390850908,12.9643,16.6144
Kalyanpur,9,0.6000903888056583,11.055478818156551,8.556129475008204,13.0791,16.7616
Kalyanpur,10,0.5899026240479073,11.200545463815526,8.742354328888204,13.2644,16.999
Kalyanpur,11,0.5828750886735499,11.323702578493576,8.868396755645298,13.1532,16.8565
Kalyanpur,12,0.5758281596892671,11.436966353798821,8.906453303303921,13.1682,16.8758
Kalyanpur,13,0.5699225382675425,11.543424308789637,8.989952906193036,13.1639,16.8703
Kalyanpur,14,0.5671482815465319,11.59965313907519,9.039598783049382,13.2196,16.9416
Kalyanpur,15,0.5596613930890384,11.709038858143938,9.140205051215752,13.414,17.1907
