substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,98.95833333333336,247874096.79793492,11477253.222337484,4.630275357773125,3252.3289464917243,17544793.930413026,0.9540964102723622,711635.2444405684
Dhanmondi,Educational,36.0,1178.6226757857057,5.555555555555554,55293607.12271432,177435.12840939936,0.3208962801352671,150.54447199661732,583682.2869796115,0.9972732760848354,18672.468130428857
Dhanmondi,Government,20.0,802.1669568601163,0.0,52177157.857688725,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,100.0,8755069.57092015,293996.2431426352,3.358011501349343,2538.1986817312054,549901.1712022261,0.9645967378547385,21995.005659120543
Dhanmondi,Residential,204.0,121860.37384850386,74.01960784313724,319887942.33084536,17165005.40291051,5.365943235571391,140.85797426036086,26553987.45871931,0.9661011004943697,1348089.054807362
Kalyanpur,Commercial,68.0,2845.228977924288,92.64705882352942,179788655.6928409,11951374.256990822,6.647457377627369,4200.496462576395,18940158.594298184,0.9280182462389941,741032.6300217521
Kalyanpur,Educational,20.0,644.1544803297821,4.999999999999999,31303933.69948343,25453.778783352194,0.081311757901443,39.51502249944896,85193.8579995508,0.9995171017374462,2678.640229766078
Kalyanpur,Government,12.0,520.1446066889106,0.0,32037803.721434996,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,100.0,35799950.37877679,2264426.913527045,6.325223609442377,3739.404642807585,3590907.561001414,0.9314233057711593,169410.6096230911
Kalyanpur,Residential,272.0,216332.7081211862,45.58823529411764,416554165.2985567,28153408.720916457,6.758642948807888,130.13939947141677,43403352.36159216,0.966600972725382,2208435.2323151557
