substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,92.70833333333334,247874096.79793492,6510499.399119649,2.626534794568292,1844.8913900987723,6815011.601059275,0.9749882674198838,403676.79806049477
Dhanmondi,Educational,36.0,1178.6226757857057,5.555555555555554,55293607.12271432,57063.81975160669,0.10320147793028532,48.4156812217839,131523.14300554842,0.9991521391452162,6005.137569229853
Dhanmondi,Government,20.0,802.1669568601163,0.0,52177157.857688725,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,100.0,8755069.57092015,86563.26298409786,0.988721589050721,747.3386654331907,109320.33672301668,0.9899381751931109,6476.135337156102
Dhanmondi,Residential,204.0,121860.37384850386,60.294117647058826,319887942.33084536,10536304.488076413,3.293748558105763,86.46210540249194,10127358.464881169,0.9858934119710129,737318.5189213289
Kalyanpur,Commercial,68.0,2845.228977924288,95.58823529411765,179788655.6928409,6894125.044036195,3.8345717739913643,2423.0475288726125,7851913.8831053525,0.9564809427999111,427463.11036930745
Kalyanpur,Educational,20.0,644.1544803297821,9.999999999999998,31303933.69948343,61080.628231012306,0.19512125478345313,94.82295023352378,163984.98976658826,0.9986968750132412,6427.848274771093
Kalyanpur,Government,12.0,520.1446066889106,8.333333333333334,32037803.721434996,6.219520713525008,1.9413068285214003e-05,0.011957291556124497,1320.1485051719037,0.9998812512019267,0.3856349648423334
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,100.0,35799950.37877679,205875.00469811624,0.5750706426123001,339.9756220027698,265008.7515269649,0.9896391713080884,15402.31210100753
Kalyanpur,Residential,272.0,216332.7081211862,40.808823529411754,416554165.2985567,12530931.707952168,3.0082358434636896,57.92435095359013,12533128.026420824,0.9886653992946259,903843.4611352487
