household_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained,saving_per_discomfort,participated
DHNC0001,Dhanmondi,Residential,Res-A,624.1576541510876,0.48811259340679575,1.6288542526025491,20.445468599887178,0.336160097220683,LT-A,571.5137687469058,485.78670343487,0.0,85.72706531203589,0,711,1752.7300219977067,84.13671257001303,30,upper-middle,174354.85781382807,4,3.51773257994839,3.51773257994839,6.181,8578.421668891058,7207.521705987385,84.13671257001303,15.01,30,1.0,571.5137687469058,485.78670343487,6543.624852335609,5192.523439485268,0.0,5972.4216688910565,4685.658418557398,11.449636404531567,10.688895770037139,401-600,401-600,1351.1014128503411,20.647598897239565,1370.8999629036734,85.72706531203585,14.999999999999995,0.0,0.0,0.85,True,-317.49189657735246,False,0.7708554060769713,True
DHNC0002,Dhanmondi,Residential,Res-C,624.1576541510876,0.16751650571588522,3.435802022763606,34.865609513673476,0.3952227202324324,LT-A,53.58179949121829,53.58179949121829,0.0,0.0,0,0,0.0,0.0,0,lower-middle,13466.875557381318,4,0.6367998302788257,0.6367998302788257,1.0005,331.13552085572906,331.13552085572906,0.0,6.18,30,1.0,53.58179949121829,53.58179949121829,391.81434689851545,391.81434689851545,0.0,331.135520855729,331.135520855729,7.312452187477042,7.312452187477042,1-75,1-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
DHNC0003,Dhanmondi,Residential,Res-B,624.1576541510876,0.24267771006716132,1.902271623302216,12.764230591482916,0.4095113664584127,LT-A,146.01897337555084,128.5230449165576,0.0,17.49592845899322,0,505,223.32206526267782,21.7780479912374,24,middle,37403.4718797451,5,1.6709511352137625,1.6709511352137625,2.2145,1241.1612736921825,1070.6678337995024,21.7780479912374,8.5,30,1.0,146.01897337555084,128.5230449165576,1218.1787873767912,1062.0276258802767,0.0,1067.161273692182,918.4458817907397,8.342606164225785,8.26332450005202,76-200,76-200,156.15116149651453,12.818410820694737,170.49343989268004,17.495928458993234,11.981955532583358,0.0,0.0,0.8801804446741666,True,-45.39285577492589,False,0.6992195836665089,True
DHNC0004,Dhanmondi,Residential,Res-C,624.1576541510876,0.17573881203669525,2.524259063390713,30.78434477752136,0.2871561615354153,LT-A,172.9555704162361,172.9555704162361,0.0,0.0,0,0,0.0,0.0,0,lower-middle,18000.40864776403,4,1.4555060460656335,1.4555060460656335,2.9354,1470.1223485380071,1470.1223485380071,0.0,8.5,30,1.0,172.9555704162361,172.9555704162361,1490.3796059649073,1490.3796059649073,0.0,1296.122348538007,1296.122348538007,8.61712405317822,8.61712405317822,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
DHNC0005,Dhanmondi,Residential,Res-B,624.1576541510876,0.31821449115831296,1.251498681288837,16.44534998854809,0.4396689300965624,LT-A,147.72884978733393,138.20426413175258,0.0,9.52458565558136,0,252,156.63514460194023,21.955536103134,13,middle,45089.15300830378,5,0.4449729328061469,0.4449729328061469,0.5004,1255.6952231923383,1152.7807090167623,21.955536103134,8.5,30,1.0,147.72884978733393,138.20426413175258,1157.8476243519553,1072.8406973758918,0.0,1081.6952231923383,1000.7362451198969,7.837654094097114,7.762717772247126,76-200,76-200,85.0069269760636,7.341806053593777,102.91451417557596,9.524585655581348,6.44734299988977,0.0,0.0,0.9355265700011022,True,-49.672681522742636,False,0.5427066013319888,True
DHNC0006,Dhanmondi,Residential,Res-A,624.1576541510876,0.5119040979316096,2.188324479675829,18.70289060740381,0.38978441997885555,LT-A,429.77820778834956,365.3114766200971,0.0,64.46673116825244,0,649,1205.714220856735,63.669150810923135,30,upper-middle,71566.17369647385,4,2.148862498522333,2.148862498522333,4.765899999999999,6450.970898903128,5419.656113256733,63.669150810923135,15.01,30,1.0,429.77820778834956,365.3114766200971,4247.395633848283,3427.6874153396006,0.0,3844.970898903127,3064.296405085334,9.882761752173284,9.382917413525988,401-600,301-400,819.7082185086824,19.299078521818778,1031.3147856463947,64.46673116825247,15.000000000000007,0.0,0.0,0.85,True,-322.3368515371294,False,0.6798528244331635,True
DHNC0007,Dhanmondi,Residential,Res-A,624.1576541510876,0.5005028170648765,2.0026000638373334,16.378962202385537,0.32257640996409576,LT-A,286.4994050050153,243.52449425426303,0.0,42.9749107507523,0,699,703.8844388374636,42.307911349141634,30,upper-middle,191024.38027519392,5,1.2928784985500148,1.2928784985500148,3.0696,2607.1445855456395,2173.7649863646516,42.307911349141634,9.1,30,1.0,286.4994050050153,243.52449425426303,2564.171174822922,2153.5459025994833,0.0,2313.1445855456395,1922.0728977137935,8.95000523571082,8.843241453777434,201-300,201-300,410.6252722234385,16.01395711235213,433.37959918098795,42.97491075075229,14.999999999999996,0.0,0.0,0.85,True,-250.9512552648834,False,0.5833702942795947,True
DHNC0008,Dhanmondi,Residential,Res-B,624.1576541510876,0.40366424594913736,1.4376210206385707,18.92278205980839,0.39434358339972053,LT-A,250.50399584781502,220.5372464015128,0.0,29.96674944630235,0,566,567.0542688132633,37.11562225741142,24,middle,35586.75840057057,4,1.0388967635580524,1.0388967635580524,3.1855,2279.586362215117,1969.7733199963548,37.11562225741142,9.1,30,1.0,250.50399584781502,220.5372464015128,2225.3462303258725,1939.0139393664547,0.0,1985.5863622151167,1712.8889422537663,8.883475981268594,8.792228845717347,201-300,201-300,286.33229095941783,12.866864807706271,309.8130422187621,29.96674944630223,11.96258340905168,0.0,0.0,0.8803741659094827,True,-243.60635559643407,False,0.504946892576361,True
DHNC0009,Dhanmondi,Residential,Res-C,624.1576541510876,0.18526330769181754,2.6216301769169332,35.588139728700725,0.32070198115000986,LT-A,82.1478846166867,82.1478846166867,0.0,0.0,0,0,0.0,0.0,0,lower-middle,17549.61363711169,3,0.6545763315066526,0.6545763315066526,2.6647,698.2570192418372,698.2570192418372,0.0,8.5,30,1.0,82.1478846166867,82.1478846166867,667.9831402039287,667.9831402039287,0.0,524.2570192418369,524.2570192418369,8.131470984564357,8.131470984564357,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
DHNC0010,Dhanmondi,Residential,Res-B,624.1576541510876,0.3662534609067982,2.1483498639508403,20.410545414071773,0.2756087059103804,LT-A,141.05053621708373,136.10858788300982,0.0,4.94194833407394,0,210,100.8678609066125,14.82584500222182,10,middle,31375.265750045997,4,0.9461362814696509,0.9461362814696509,1.79,1198.9295578452118,1142.0971520033618,14.82584500222182,8.5,30,1.0,141.05053621708373,136.10858788300982,1155.1150357374725,1111.0081468558628,0.0,1024.9295578452118,982.9229970055835,8.189370042235737,8.1626601534564,76-200,76-200,44.10688888160962,3.8183979531917345,56.832405841850004,4.941948334073913,3.5036721352608056,0.0,0.0,0.9649632786473917,True,-41.93512702278107,False,0.43727395907052635,True
