substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,36.45833333333333,247874096.79793492,2723560.434921951,1.0987676687904089,771.7799954763243,3916348.370286041,0.9890148318590146,169041.99457758915
Dhanmondi,Educational,36.0,1178.6226757857057,0.0,55293607.12271432,-1045.190253819289,-0.0018902551455897518,-0.8867895343372155,0.0,1.0,0.0
Dhanmondi,Government,20.0,802.1669568601163,0.0,52177157.857688725,-582.9460375726512,-0.0011172437547530187,-0.7267140993371866,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,-1056.0583538175945,-0.0019067587631529472,-6.092797353295382,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,25.0,8755069.57092015,23579.45310137184,0.2693234235361268,203.57177404069168,45327.54309436262,0.9966915072640827,1772.9239239007336
Dhanmondi,Residential,204.0,121860.37384850386,26.960784313725483,319887942.33084536,6116532.697821819,1.9120860427729944,50.19295858574879,7989388.793888057,0.992260318289982,408169.2227743398
Kalyanpur,Commercial,68.0,2845.228977924288,69.11764705882355,179788655.6928409,3274466.9402143327,1.8212867366940997,1150.862361384774,5590578.113573417,0.9757355590810471,210524.6009482283
Kalyanpur,Educational,20.0,644.1544803297821,0.0,31303933.69948343,-36239.67668326101,-0.11576716533826235,-56.25929461005642,0.0,1.0,0.0
Kalyanpur,Government,12.0,520.1446066889106,0.0,32037803.721434996,-21883.562618120322,-0.0683054394377198,-42.072074451419816,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,-22019.44723815358,-0.1167107979462814,-405.7532249653183,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,93.75000000000003,35799950.37877679,130154.91460776492,0.3635617179093198,214.93380469075052,295454.26660157513,0.9911297596790172,11944.873585284866
Kalyanpur,Residential,272.0,216332.7081211862,12.867647058823533,416554165.2985567,7499333.265474217,1.8003260776660877,34.66573931702093,10747429.621931542,0.9939575759987169,522943.0972230255
