substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3947.7791781371907,98.95833333333333,259431694.54452413,33600080.43442984,12.951416939792349,8511.134721138193,50977757.812517405,0.8731646967779549,2083338.320587167
Dhanmondi,Educational,36.0,1339.6682147589709,0.0,57828479.057306476,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Government,20.0,883.2568552705877,4.999999999999999,54620018.00090338,0.0,0.0,0.0,874.809703859055,0.9999394771744055,0.0
Dhanmondi,Hospital,36.0,186.94848817055632,0.0,57820742.30825982,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,127.06692605194651,100.0,9103909.597342838,1071770.2705309135,11.77263744846205,8434.691102016277,1624114.9859072333,0.8724802518971886,80183.31429550839
Dhanmondi,Residential,204.0,127328.16144682188,72.54901960784314,330197083.4126661,46939807.453333855,14.215694144902699,368.6522048222466,75589224.3735035,0.9164901787321585,3783561.726406604
Kalyanpur,Commercial,68.0,3183.0908317655144,92.64705882352939,186958776.54156214,21757019.478971913,11.637335182355127,6835.186499187738,34487150.07465683,0.8770464853046684,1349021.5450751444
Kalyanpur,Educational,20.0,763.3200799420495,0.0,32652597.974617384,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Government,12.0,491.666845053339,0.0,33142706.973027777,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,62.701254159669595,0.0,19582348.038066916,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,546.7397162311208,100.0,36946667.059060566,3841270.911853571,10.396799542738625,7025.776247485499,5982597.808294372,0.8850704515186144,287380.4594960216
Kalyanpur,Residential,272.0,236831.48895911698,41.1764705882353,418927415.3820995,44534697.41176948,10.630647643613829,188.04381802226172,70249443.09497607,0.9505226915433798,3660695.856377946
