substation,period_days,n_representatives,n_connections,n_participating_connections,participation_rate_pct,baseline_energy_kwh,optimised_energy_kwh,energy_saved_kwh,energy_saved_pct,energy_shifted_kwh,energy_curtailed_kwh,bill_baseline_tk,bill_optimised_tk,consumer_saving_tk,consumer_saving_pct,mean_saving_per_connection_tk,median_household_saving_tk,mean_household_bill_tk,mean_household_kwh,total_incentive_paid_tk,n_dr_participants,connections_gained_money,discomfort_tk,net_benefit_tk,peak_reduction_pct_mean,qoe_mean,qoe_min,qoe_violations,operator_cost_tk,retail_revenue_tk,utility_margin_tk_indicative
Dhanmondi,30,400,127659.25485741055,104164.06198247631,81.59538616986504,63434492.74370754,57543526.81742409,5890965.926283449,9.286691942323147,761.2000786057512,5890965.9262834415,739372874.3537774,658384658.9783511,80988215.37542629,10.953636275365277,634.4092754253217,237.17296576104934,5791.768682808172,496.90477055158215,6302197.204708112,277,1865.5837733821527,126265921.44693406,-38975508.86679977,1.1144026481043166,0.922181803106843,0.8499999999999999,0,501850600.53432745,658384658.9783511,156534058.44402367
Kalyanpur,30,400,221002.06240130056,117134.55534755476,53.001566625590655,65093121.64351699,59593591.028491825,5499530.615025163,8.448712361873483,73858.38187978281,5499530.615025153,714351184.0479002,639364056.9652953,74987127.08260489,10.497235639435392,339.30510090191626,30.076327426861553,3232.3281343445797,294.536263310156,9367458.558677044,226,2469.7057212755626,116441323.8082917,-32086738.167009793,0.9251834277861488,0.9360683893466225,0.8499999999999999,0,477003531.61786014,639364056.9652953,162360525.34743518
