substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,98.95833333333336,247874096.79793492,32980640.22706537,13.305400061205644,9345.780632909002,50087685.6591917,0.8714923156540788,2044930.56963451
Dhanmondi,Educational,36.0,1178.6226757857057,5.555555555555554,55293607.12271432,401842.6493461717,0.7267434162042521,340.9425744149129,1330882.660726347,0.9953131545720958,42288.09780017595
Dhanmondi,Government,20.0,802.1669568601163,0.0,52177157.857688725,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,100.0,8755069.57092015,751478.7623205975,8.583355691616939,6487.846182938274,1334539.7451976014,0.9073242126037888,56221.057294025886
Dhanmondi,Residential,204.0,121860.37384850386,74.01960784313724,319887942.33084536,46850950.31613095,14.646050731001038,384.464193211616,73503784.15814315,0.9123828162121639,3747185.573022838
Kalyanpur,Commercial,68.0,2845.228977924288,92.64705882352942,179788655.6928409,21763931.288133685,12.105286178520725,7649.272328166491,34162389.14950251,0.8728734598226295,1349450.104670987
Kalyanpur,Educational,20.0,644.1544803297821,4.999999999999999,31303933.69948343,25453.778783352194,0.081311757901443,39.51502249944896,85193.8579995508,0.9995171017374462,2678.640229766078
Kalyanpur,Government,12.0,520.1446066889106,0.0,32037803.721434996,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,100.0,35799950.37877679,4234985.896126167,11.82958593885869,6993.524863883707,6668315.033529431,0.875590026352288,316835.8131243158
Kalyanpur,Residential,272.0,216332.7081211862,45.58823529411764,416554165.2985567,48957443.167494446,11.752959697907523,226.30624648802183,75471647.75367501,0.9453449698302407,3829636.9829641674
