scope,n_representatives,n_connections,n_participating,connections_participating,connections_gained_money,connections_lost_money,pct_connections_gained,connections_gained_lambda,pct_connections_gained_lambda,saving_max_tk,saving_min_tk,saving_mean_tk,saving_median_tk,saving_p25_tk,saving_p75_tk,saving_pct_mean,saving_pct_median,net_benefit_median_tk,net_benefit_p25_tk,net_benefit_p75_tk,qoe_mean,qoe_min,kwh_mean,kwh_median
fleet,800,348661.3172587111,189,64541.25557395275,6479.799045620006,58061.45652833276,1.858479482773225,60038.459228943975,17.219707566352906,9170.372658998444,-543.6764890269842,212.9007386973103,-0.6320383638558269,-1.86983002042939,-0.017990594925379355,0.7114214891292636,-0.0021000940196330507,-1.6876264911943508,-27.260865564569478,-0.4400154098012692,0.9923807696147011,0.88819624385129,3650.203731180398,403.5698034566253
Dhanmondi,400,127659.25485741055,92,34170.060142571005,4889.117368258343,29280.94277431268,3.8298181935334497,32975.35059503667,25.830755969763885,6510.442053550767,-9.168770095973741,214.23254474900972,-0.047454675716380734,-0.6978695243105904,-0.012793258657154638,0.7422960498204297,-0.0018831944145831976,-0.514096703083851,-5.716541034169495,-0.03701395536893415,0.9933501521193357,0.9174341271923494,4888.265070238807,645.2712052446126
Kalyanpur,400,221002.06240130056,97,30371.19543138174,1590.6816773616636,28780.51375402009,0.719758747985468,27063.108633907308,12.245636235179335,9170.372658998444,-543.6764890269842,211.56893264561083,-1.6284015175872355,-2.8881781189955973,-0.545866473933927,0.6805469284380973,-0.1269994729210529,-2.635386801454956,-65.79372145613706,-1.5359524858024542,0.9914113871100664,0.88819624385129,2412.1423921219885,234.23754968111427
