model,mean_val_r2,min_val_r2,mean_rank,wins,mean_val_rmse,mean_test_r2,min_test_r2,mean_test_rmse,mean_test_mae,mean_train_r2
BiGRU,0.6882084625515582,0.3960962136507944,1.8333333333333333,9,11.55544844350288,0.7593910418274852,0.531266911271973,8.951875559885913,6.707886737031753,0.8093431176579559
BiLSTM+BiGRU,0.681476813997294,0.3797289039983244,3.1666666666666665,3,11.651604888042934,0.7534420412719517,0.5097756821497629,9.04225490962104,6.765903330621615,0.8031930669784599
BiGRU+BiLSTM,0.6783775704352889,0.3545815322927077,3.388888888888889,0,11.68350867300632,0.752037753009036,0.5020411678215799,9.055068004440267,6.768985614145836,0.7980335709243206
CNN+BiLSTM+BiGRU,0.6695910882532273,0.2951681164153232,3.9444444444444446,3,11.789985320646409,0.7404886825521194,0.4641499118100862,9.20362593467447,6.848911434106968,0.8197429123015885
CNN+BiGRU+BiLSTM,0.6692768028506416,0.3771335188349531,4.055555555555555,3,11.8524307443994,0.7283355943057374,0.4204456290924097,9.415304071054717,7.02285473552771,0.8087397227004351
BiLSTM,0.6655984728019523,0.361479071107823,4.611111111111111,0,11.908119781771385,0.7379066833610599,0.4920151237549564,9.303758223562433,7.0528222043260245,0.7947005593904009
