model,mean_val_r2,min_val_r2,mean_rank,wins,mean_val_rmse,mean_test_r2,min_test_r2,mean_test_rmse,mean_test_mae,mean_train_r2,mean_val_r2_lead1,mean_val_r2_lead15,mean_test_r2_lead1,mean_test_r2_lead15,mean_sigma_1_mw,mean_sigma_15_mw,mean_epochs,horizon,weight_mode
BiGRU,0.39335498699686816,0.10503988843751502,3.1875,3,15.264117119793887,0.36225381865547396,-0.25283497461867394,13.886335733294853,10.58326713999384,0.6001328636208718,0.5840353137813462,0.334730801798602,0.6038717249465336,0.2557675341842477,12.787295179861054,15.940998181011926,89.125,15,uniform
BiLSTM+BiGRU,0.3917737952469212,0.07919254161631196,3.3125,3,15.292680402677536,0.3516247551439142,-0.048913178147674805,14.090873664205226,10.765728385576427,0.6259419042743822,0.5438521439568083,0.34901619165231207,0.5555526752501668,0.24218045371607239,13.256193600594075,15.731623285072414,93.0,15,uniform
CNN+BiGRU+BiLSTM,0.3909851506661997,0.11785903851044431,3.0625,6,15.393919792560471,0.29734855563717466,-0.3252423249184517,14.674071693761814,11.393337889775603,0.5974652838961744,0.5046900758256264,0.34853004325630194,0.45566935143947834,0.2013290759906987,13.90478556262385,15.797556447616568,85.5625,15,uniform
BiGRU+BiLSTM,0.3904727706634323,0.09050161485874729,3.25,1,15.319555064458978,0.3497626648666688,-0.21622071717518362,14.016991866551406,10.738605501309747,0.603656562074257,0.5445648950836486,0.34190864627866,0.5624792199082493,0.23094287212415246,13.224177585173917,15.880331128979261,89.125,15,uniform
BiLSTM,0.3825450211748552,-0.01522470045650656,3.6875,1,15.399469954248195,0.3479548162493367,-0.03282501126705375,14.140099046997896,10.672642306264857,0.6228040709157323,0.5143010202782785,0.34321841021693056,0.5292438947614697,0.23182402376735145,13.740700879964763,15.818000987165812,81.9375,15,uniform
CNN+BiLSTM+BiGRU,0.37916853513251425,0.07909107117898853,4.5,2,15.462544659532279,0.2949517107952141,-0.2525358893104247,14.737756786566028,11.385743937671082,0.6124044374231039,0.48164057280900413,0.34891627793794416,0.46274036193108314,0.18561105068661984,14.20184766374347,15.733312372721157,82.25,15,uniform
