rank,model,train_r2,val_r2,test_r2,test_rmse,test_mae,test_r2_sd_across_subs,test_r2_sd_across_seeds
1,BiGRU,0.8167146951425736,0.732921229130836,0.7870725414351174,8.847496122333403,6.726833435804035,0.08322082389049368,0.0
2,BiGRU+BiLSTM,0.8046367827510148,0.725580303068033,0.7665258203934391,9.343205077696451,7.209932541495192,0.10248164512817266,0.0
3,BiLSTM+BiGRU,0.8102551025926358,0.7191895699050382,0.7501651750114067,9.789762476606985,7.650514786159953,0.12486177610426748,0.0
4,CNN+BiGRU+BiLSTM,0.810465676348583,0.7188654869235014,0.7532030437164408,9.56258062394774,7.359609747534601,0.11866526152573595,0.0
5,CNN+BiLSTM+BiGRU,0.8265298521322015,0.7187836917683369,0.7651164680339612,9.288728988233176,7.072486347044187,0.10860482884925579,0.0
6,BiLSTM,0.7990378662906749,0.6965548840533715,0.7364220988804392,9.975855785944134,7.746341978592533,0.10464989564403393,0.0
