substation,model,horizon,n,r2,rmse,mae,mape_pct
Matual,BiGRU,1,33,0.8460713702565381,4.883852119857966,3.5568838336251023,6.790582375531616
Matual,BiGRU,2,35,0.7416944825825871,6.613379457025204,4.149261967114041,8.600870337371184
Matual,BiGRU,3,36,0.7043255700069007,6.647287144959053,5.268843501806259,11.454807316671403
Matual,BiGRU,4,34,0.7427810609820396,6.02000846763595,4.485507737187781,7.745256088062599
Matual,BiGRU,5,35,0.7701603459352132,5.551253957353749,4.342235654762815,7.670370193458546
Matual,BiGRU,6,37,0.6700731649092615,6.403207083939692,5.048012701240747,8.34661119894502
Matual,BiGRU,7,34,0.6737896497988206,6.904011225839325,5.287862565587551,9.240882661505173
Matual,BiGRU,8,36,0.5749493695155504,8.513706703691932,6.404289711183973,12.042633136518461
Matual,BiGRU,9,34,0.5886517885164688,8.144413976490608,6.32356755032259,10.853933978064529
Matual,BiGRU,10,35,0.4375559162464172,9.003735152537239,7.501739256722587,14.744828712964587
Matual,BiGRU,11,33,0.4161354436750542,10.476868712812248,7.428726681073508,13.366241646037668
Matual,BiGRU,12,36,0.5186980745693955,9.039017598522836,7.391621321108608,13.27281217931402
Matual,BiGRU,13,34,0.5489054469050746,7.6121592470212445,5.889143482727165,9.913974014647394
Matual,BiGRU,14,34,0.44617483259961765,9.945784860702542,7.302733435350309,12.5410451354493
