substation,model,horizon,n,r2,rmse,mae,mape_pct
Shyampur,BiGRU,1,35,0.8099605712946707,11.971859091893231,8.743984107145245,6.632596130680354
Shyampur,BiGRU,2,35,0.496901291194488,23.786412770150367,13.554620990548814,14.512911658311856
Shyampur,BiGRU,3,37,0.14901124394927956,26.902176235076503,17.959627509729284,18.117553151011975
Shyampur,BiGRU,4,37,0.4788797244402977,22.28142806342701,15.569699650406843,14.777073045168137
Shyampur,BiGRU,5,36,0.5307825463758149,21.987505157493093,16.814265402340226,14.906870793043915
Shyampur,BiGRU,6,36,0.3465493991444236,22.883486036955386,18.157979145861344,18.326892232430435
Shyampur,BiGRU,7,36,0.5573464255771127,22.0425447168024,16.626888540279538,15.5361616068137
Shyampur,BiGRU,8,36,0.6472366310953536,20.16338166613589,15.425966778910825,14.627680930267081
Shyampur,BiGRU,9,38,0.6697903053588826,21.276691388642803,16.19040264271592,14.85134756434702
Shyampur,BiGRU,10,38,0.643196143586134,19.03953964316284,15.29685509530338,13.456701131636603
Shyampur,BiGRU,11,36,0.6674177717978385,20.64164748150851,16.28161485179431,15.153171408348076
Shyampur,BiGRU,12,36,0.6004958565445737,22.71840798410963,17.76293092955318,16.35390338684401
Shyampur,BiGRU,13,36,0.6054143424573676,19.91398519545693,16.402505587794717,15.476344696270386
Shyampur,BiGRU,14,36,0.34485725461651895,23.677633247009133,16.945930070810846,11.614780067196197
