substation,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae
Agargaon,0.802985503464231,8.51313438389472,6.542025796785825,0.834688635708027,6.407805422578116,4.817388108414866
Bangabhaban,0.7776153606840082,3.978245905932713,2.661394282543835,0.7172870022918991,3.74055069754948,2.680199206267654
Bashundhara,0.7615829252435302,32.97369725626129,20.64948964391914,0.7203500228244624,16.005034966927017,13.034821283341795
Dhanmondi,0.8295735461441843,15.297664487446909,11.32142094914496,0.7899477527664016,13.233153821158046,9.93240924755002
Gulshan,0.8270581497101671,10.046439242678778,7.1841925628713525,0.7998639078034163,12.371469552272224,9.12924962907153
Hasnabad,0.9236875035989156,11.398691029802151,8.227752329372677,0.531266911271973,8.836385648721318,6.7759979925477225
Kalyanpur,0.8675670281642516,6.795924983535421,4.810826746826497,0.8546439383846407,6.898314228666228,5.207147275070277
Lalbag,0.7724551373226765,7.956646371802071,5.590549125074556,0.7294500004674791,6.61219952787394,5.129399783738381
Madartek,0.8720090627562451,5.463427199356236,3.75018577536104,0.8776311362672821,5.413978607274909,4.187683895590769
Maniknagar,0.8218453030098971,7.449454658549846,5.225607725499154,0.7984749156685336,6.445178780574096,4.836703213972641
Matual,0.8014542843353138,5.981042653957438,4.215278025280356,0.814501640028362,5.40266022709245,3.9533051811989672
Mirpur,0.8802745695952318,8.330960576858924,6.29100421677817,0.7733432238375407,8.900844825568923,6.781623188419104
Narinda,0.8185155092587704,6.898631138142265,4.983660686856695,0.7550837252918695,6.997463316159801,5.241841787144487
Savar,0.7486078071773299,17.03927531386325,13.089662739023966,0.6408868839502029,18.49942216782117,13.321708277717017
Shyampur,0.7891936840362115,13.132085371730607,10.174723354369153,0.7545362170345958,15.97475134176505,11.530602626732597
Ullon,0.5823847348144848,10.366986000481406,4.982164195035271,0.6446877011264422,5.730736184282661,4.325630642501089
Uttara,0.8761825537314308,6.203740939678854,4.410728892614307,0.7949012350371145,7.192395271960847,5.403188472335828
Uttara New,0.815183454796325,6.193148641194115,3.505920249629362,0.8374939031344909,6.471415489700185,4.453061454956803
