substation,model,horizon,n,r2,rmse,mae,mape_pct
Mirpur,BiGRU,1,36,0.8211481622210712,8.310823791322077,6.30364846922871,5.076935207658892
Mirpur,BiGRU,2,36,0.8034442252731899,9.052853989246893,6.853967405421037,6.083031493636362
Mirpur,BiGRU,3,38,0.6417773229708736,10.25284371700525,8.432766040963555,7.5841371176705685
Mirpur,BiGRU,4,35,0.8293782112007128,8.441820524272948,6.401606540871515,5.119243700868802
Mirpur,BiGRU,5,38,0.8033057678978817,8.717205010727753,7.202462257676219,6.106552915362329
Mirpur,BiGRU,6,38,0.6121084410451036,9.412766893783795,8.021908061037715,6.6974783027676965
Mirpur,BiGRU,7,37,0.5430999649582249,11.040706108738618,8.370947102139116,7.389370872921108
Mirpur,BiGRU,8,36,0.548790885191823,11.809134039056174,8.832280784874317,7.952832683950787
Mirpur,BiGRU,9,37,0.4263584145335152,11.864473728676748,9.644655475330506,8.502629036277467
Mirpur,BiGRU,10,36,-0.16175688733807214,14.106424271850582,12.279638545010227,11.201304908464795
Mirpur,BiGRU,11,36,0.49806024668685855,11.659865934070734,9.478480495359333,8.04907481758847
Mirpur,BiGRU,12,38,0.5857041395729701,11.530106363215872,8.92648852049912,7.601862500343462
Mirpur,BiGRU,13,37,0.64192353881133,10.339881853652964,8.589308419755179,7.087139279116929
Mirpur,BiGRU,14,37,0.6435243339504308,11.180848855017736,9.050535632734363,7.549239674474002
