substation,model,train_r2,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,val_mape,test_mape,val_r2_lead1,val_r2_lead7,val_r2_lead15,test_r2_lead1,test_r2_lead7,test_r2_lead15,sigma_1_mw,sigma_15_mw,horizon,weight_mode,epochs_run,train_seconds
Agargaon,BiGRU,0.6336171641065481,0.6322831130451531,12.863374762325028,10.406153673437954,0.6040052660041969,9.793477824497874,7.724297217461896,11.73809650665756,8.10289763766651,0.7500913430384192,0.6216049953042603,0.5744963618541572,0.7697064390018068,0.6006926940935253,0.4805850303964817,10.883734650085932,13.33003279931966,15,uniform,49,80.5
Bangabhaban,BiGRU,0.6479071208803242,0.1928188864091372,6.770090695711131,5.1473738986460065,0.49719266060439465,4.9716241678676285,3.8464498791974906,63.558418125568345,57.20648055708105,0.28508372578241403,0.17553534059671727,0.2168732947334291,0.566798020815904,0.5363387975460487,0.4930719537163254,6.3593372960966805,6.669098285765351,15,uniform,85,137.2
Bashundhara,BiGRU,0.691323207577738,0.5855294275086905,48.54847332671088,34.84635764941644,0.26659759612895795,25.417443844024547,20.057066734958937,271.81929385541514,12.304726008996342,0.6670139247759379,0.5995214986929776,0.5178138253634268,0.5190480655194276,0.2728755631105543,0.10720577410957999,44.21972783161986,51.66692908595972,15,uniform,100,156.3
Dhanmondi,BiGRU,0.5299410646167003,0.34855105218369625,21.96647685269001,17.296623370582786,0.4934396028849383,20.610685099126407,15.855699800233522,15.137307040773841,16.66661096142193,0.47973666252895664,0.3214401808404562,0.32595405360689444,0.6468963553381839,0.4910650049788202,0.444464567964142,19.702767476423578,22.245188803617317,15,uniform,82,130.3
Gulshan,BiGRU,0.607657465136755,0.45589307311904526,18.67418779425857,13.402834762466338,0.4631181879014146,19.945874606808648,15.274959159534681,14.337926324771333,15.729703284350046,0.7286200217470966,0.42800137249535253,0.35952209331582574,0.7253987866534594,0.44297709651829187,0.3771683300787928,13.352520679196664,20.01340238470542,15,uniform,129,204.5
Hasnabad,BiGRU,0.8797363458624898,0.47767064157424194,10.003782583109286,7.6940405826244245,0.07006622936728132,12.331737809432276,9.632633254968445,9.185688385505607,12.62294996710387,0.5540961526054828,0.4804953240137658,0.4302468094156433,0.21691903258791378,0.06432436917535445,0.01231415748105913,9.281232604290565,10.134044980496116,15,uniform,134,212.8
Kalyanpur,BiGRU,0.7213700028909105,0.6245390356111129,12.507842658556529,9.492474920260294,0.620197288062722,10.771158474331786,8.350889872768017,9.723346550353806,8.781213042969721,0.7492435005738014,0.6119511132717603,0.5753803321401045,0.7715128164654331,0.606481249504159,0.5546308755860829,10.285166324896188,13.267424890088181,15,uniform,81,129.8
Lalbag,BiGRU,0.4154006867764896,0.28158240323093175,13.22108598371407,9.6364361980473,-0.3022853286454418,14.271509820169362,11.059934683606523,15.960959897702091,25.437138551224255,0.6540995707374795,0.23405334775959385,0.1315948918075538,0.4709664317758089,-0.31392862880915473,-0.7455838182804937,9.356031807849211,14.519897498390309,15,uniform,124,198.7
Madartek,BiGRU,0.7119511664186537,0.5533816877307172,10.447176014053774,7.9980802644818585,0.6542252594325357,9.059809678556757,7.160086849111655,11.354130146905108,9.55481542713489,0.6790448338056282,0.5292978154219807,0.5319913646632866,0.7833110746325787,0.6474398848696177,0.5831620137640978,8.87466908580713,10.72534747144237,15,uniform,84,134.2
Maniknagar,BiGRU,0.6045278296688227,0.35308993754563384,10.487259296563677,8.127852262994697,0.5872037454332123,9.137384587676298,6.953692673068939,13.145631325625855,11.84246138694095,0.5335352316736706,0.3172769077889315,0.3078089379469101,0.7229312956894635,0.5824603663594405,0.5299786546359518,8.750083309192583,11.028770926479199,15,uniform,81,131.7
Matual,BiGRU,0.5148363407446707,0.23043531536002096,9.679528657028262,7.52468433127128,0.3500332246456255,9.845273812585287,7.497162593192326,13.447714456485606,13.708024088227722,0.5317072162422987,0.17835597169292272,0.1379251742522617,0.7044923950713804,0.3040441785991691,0.20739418865949533,7.413999173015932,10.409618632763895,15,uniform,139,224.9
Mirpur,BiGRU,0.705753273461831,0.5931731050280082,15.814557279835286,12.253558659022675,0.301668754605767,14.919147273788194,10.812830157595704,9.881996625026614,9.422511424925181,0.6978344049763421,0.5672362080072288,0.5740561695097437,0.5676518564572008,0.2790632033530659,0.1919700138821846,13.759845674811379,16.123631942337408,15,uniform,67,107.2
Narinda,BiGRU,0.5168595233536345,0.2817089666860495,11.65990707381758,9.393580773148141,0.2957373494424307,11.800041292730965,9.509149173918058,17.853415056444966,16.870190921255492,0.49369276005066776,0.26572391742275425,0.20968910569253318,0.5406436663792742,0.2869442590557296,0.17521269909839166,9.779973477120144,12.162386769661705,15,uniform,63,100.8
Savar,BiGRU,0.5179849384992191,0.3406569491711285,24.369556588266676,18.72563508142573,0.23516141028148219,26.986747547358227,19.273857521154103,11.971511122644204,13.004296321172546,0.5739288634767743,0.2790640659024519,0.2955670575317543,0.5816722198210488,0.20525658118983425,0.1565520818745183,20.27758992121908,24.650675529884218,15,uniform,69,109.8
Shyampur,BiGRU,0.2406672336713872,0.15744800036207177,22.323741318816662,15.151149898323895,0.13980238367018927,29.97164132178896,21.359165570348363,13.724057440950244,21.152349262947165,0.5096672270138497,0.08755285174791416,0.07666850179717344,0.540824221070147,0.08151844355418403,-0.004428799666680749,16.928044122156322,23.40110550308181,15,uniform,111,178.1
Ullon,BiGRU,0.47053394943803684,0.521069695098947,7.957046738350731,6.212776092438478,0.2733995352428312,8.10179999743601,6.293091805874364,12.7786133268281,13.268604911899272,0.6191273925146588,0.5074412346189183,0.4939411567443235,0.4697287579371334,0.24593517252318897,0.19176803447956914,7.245038956780272,7.969886863120062,15,uniform,118,191.4
Uttara,BiGRU,0.6992135262370366,0.5350417120973353,11.935437971486326,9.070892053807748,0.3750964806904051,12.282274657698315,9.51415745735723,14.002517631050958,12.772129511447721,0.6682122154886041,0.5295698797646393,0.47225891755056404,0.6008947152739099,0.3614944541809437,0.2838116606563402,10.230988102278939,12.539869352953335,15,uniform,85,135.2
Uttara New,BiGRU,0.6845998165011818,0.18293553341441784,11.284154467787257,8.334386116305762,0.6046845681799807,10.096803433040437,7.443122067290281,19.77569305580617,20.116117032257947,0.40805048557296275,0.15506671606205968,0.09296590412046923,0.7607194273844072,0.6112364204252645,0.46537994836659957,9.662923031825759,11.553804713534937,15,uniform,40,66.9
