substation,model,horizon,n,r2,rmse,mae,mape_pct
Lalbag,BiGRU,1,34,0.7812040577732628,5.709626810256425,4.914081104196167,9.56525184148145
Lalbag,BiGRU,2,37,0.27796957007595335,10.017542316120164,7.610623398084894,14.826814820255843
Lalbag,BiGRU,3,37,0.3788873959416297,8.968568250876823,7.1550451908159864,15.791291565279467
Lalbag,BiGRU,4,37,0.0036457028144516457,11.628115305481574,9.35070290770079,23.25104536184372
Lalbag,BiGRU,5,38,-0.5847396325067304,15.152362616187949,13.098101634492995,29.54984117197121
Lalbag,BiGRU,6,38,-0.5050081090807235,15.325022250299355,13.419147226567326,30.24018134534953
Lalbag,BiGRU,7,36,-0.6693372503936472,16.959685435266678,15.384483196039993,33.6452006337401
Lalbag,BiGRU,8,35,-0.7150936915427246,18.497845603202347,16.1759659659011,36.84947685767489
Lalbag,BiGRU,9,38,-0.5332236848400687,18.811543924908698,16.263581352414263,36.78602915666535
Lalbag,BiGRU,10,38,-0.4507168075906758,15.090239235011563,13.123148921649701,31.811220295649527
Lalbag,BiGRU,11,36,-0.3823374656238432,17.249305490650887,14.920889123098712,33.529884908951615
Lalbag,BiGRU,12,38,-0.8934726933595909,19.471661851758526,17.281248695709195,37.17574254551814
Lalbag,BiGRU,13,35,-1.1836905403150042,19.252916258362312,17.14534744982208,34.303705100873096
Lalbag,BiGRU,14,37,-1.4947616376880672,20.00583386358031,17.821975582242008,35.315283416273594
