substation,model,horizon,n,r2,rmse,mae,mape_pct
Hasnabad,BiGRU,1,36,0.5110829669084778,9.105612565616001,7.065828368067741,9.292223999721193
Hasnabad,BiGRU,2,37,0.492620565187318,10.102767678414327,7.703443978283857,9.54122669967993
Hasnabad,BiGRU,3,38,0.45754396796356755,9.043735197702215,7.284816067469747,10.483290415467565
Hasnabad,BiGRU,4,37,0.18853250744452232,11.533233148698528,8.479961445202699,10.092995523999221
Hasnabad,BiGRU,5,38,0.34920533355663685,10.182716976546125,8.184556539121427,10.186413627209742
Hasnabad,BiGRU,6,38,0.42169755556888266,9.442770081547318,7.9907963307280285,10.137833341999356
Hasnabad,BiGRU,7,37,0.6072305613405083,7.51277198988187,6.201722546203716,8.01766161461304
Hasnabad,BiGRU,8,37,0.4138849882838098,10.260885877942616,8.407959242124814,11.156111346222877
Hasnabad,BiGRU,9,38,0.32703136970502433,10.255696522862758,8.199859280335275,10.436265747990266
Hasnabad,BiGRU,10,38,0.1810222010813154,11.011981142219426,9.43592565938046,13.79016689398733
Hasnabad,BiGRU,11,37,0.1031009475955077,12.498629715000213,9.426517509769749,11.683376479103837
Hasnabad,BiGRU,12,38,0.37712022511216603,10.438202908444314,7.919077771274667,11.406365384249852
Hasnabad,BiGRU,13,37,0.2236675557948581,11.452160550541327,8.41877184687434,11.406752821013901
Hasnabad,BiGRU,14,37,0.09392926203238094,11.562358024431651,9.197846891106787,11.069651633388824
