model,substation,n_runs,train_r2,train_r2_std,val_r2,val_r2_std,test_r2,test_r2_std,test_rmse,test_rmse_std,test_mae,test_mae_std,train_rmse,train_rmse_std,train_mae,train_mae_std,val_rmse,val_rmse_std,val_mae,val_mae_std,train_n,val_n,test_n,test_r2_min,test_r2_max,best_seed
CNN+BiLSTM+BiGRU,Bashundhara,1.0,0.7513177230706929,0.0,0.6842994326820981,0.0,0.7160893032523531,0.0,16.150195944453333,0.0,13.063350243427767,0.0,33.30620147586562,0.0,20.13194904910577,0.0,42.03844213382853,0.0,25.189715152894404,0.0,1450.0,194.0,536,0.7160893032523531,0.7160893032523531,42.0
CNN+BiGRU+BiLSTM,Bashundhara,1.0,0.7538538922488394,0.0,0.6716491243261759,0.0,0.6223643726711723,0.0,18.62616295748542,0.0,15.308474941412424,0.0,33.13593073179188,0.0,20.2872409558324,0.0,42.87242228456632,0.0,26.1261183362869,0.0,1450.0,194.0,536,0.6223643726711723,0.6223643726711723,42.0
Naive-Persistence,Bashundhara,,,,,,0.7846507419815497,,14.065611181546565,,10.89365671641791,,,,,,,,,,,,536,,,
Naive-Seasonal7,Bashundhara,,,,,,0.27849504855873686,,25.745810954724615,,18.76679104477612,,,,,,,,,,,,536,,,
BiLSTM,Dhanmondi,1.0,0.8237181569488529,0.0,0.4952785286632627,0.0,0.7902934586573798,0.0,13.470070879260614,0.0,10.489463710217784,0.0,15.531328294969143,0.0,11.917230442568545,0.0,20.710906073900606,0.0,15.420047915392383,0.0,1556.0,196.0,536,0.7902934586573798,0.7902934586573798,42.0
BiGRU,Dhanmondi,1.0,0.8605184936154945,0.0,0.5206796855990111,0.0,0.8319703764892855,0.0,12.057487472011179,0.0,9.216752763470613,0.0,13.815389164724309,0.0,10.185006356348493,0.0,20.18301888825544,0.0,15.468602256674549,0.0,1556.0,196.0,536,0.8319703764892855,0.8319703764892855,42.0
BiLSTM+BiGRU,Dhanmondi,1.0,0.8411626476259989,0.0,0.5168227161686836,0.0,0.8178751675883831,0.0,12.553027342094103,0.0,9.661542474634171,0.0,14.742839180770142,0.0,11.121086027002043,0.0,20.26406001159502,0.0,15.03704417104624,0.0,1556.0,196.0,536,0.8178751675883831,0.8178751675883831,42.0
BiGRU+BiLSTM,Dhanmondi,1.0,0.838127133544691,0.0,0.5214621271476751,0.0,0.7836181031265417,0.0,13.682780310423965,0.0,10.770921411976891,0.0,14.883046448759638,0.0,11.310161432474471,0.0,20.166538799609775,0.0,15.206929672570253,0.0,1556.0,196.0,536,0.7836181031265417,0.7836181031265417,42.0
CNN+BiLSTM+BiGRU,Dhanmondi,1.0,0.8674222231551987,0.0,0.5051895014360638,0.0,0.8272429074234332,0.0,12.225928044549127,0.0,9.413372805575609,0.0,13.469149538277593,0.0,10.02058033723298,0.0,20.506552853103937,0.0,15.308894753228037,0.0,1556.0,196.0,536,0.8272429074234332,0.8272429074234332,42.0
CNN+BiGRU+BiLSTM,Dhanmondi,1.0,0.8585199916210607,0.0,0.4917233261328082,0.0,0.8473960806027087,0.0,11.490706613772835,0.0,8.626821364962792,0.0,13.914011146569056,0.0,10.207187128415606,0.0,20.783720746482484,0.0,15.639770124350884,0.0,1556.0,196.0,536,0.8473960806027087,0.8473960806027087,42.0
Naive-Persistence,Dhanmondi,,,,,,0.604187658541907,,18.505829557518904,,14.356902985074628,,,,,,,,,,,,536,,,
Naive-Seasonal7,Dhanmondi,,,,,,0.3523088594947299,,23.672704147219665,,15.450186567164177,,,,,,,,,,,,536,,,
BiLSTM,Gulshan,1.0,0.8378311822993253,0.0,0.47336686609298373,0.0,0.8028466367043195,0.0,12.425146880780316,0.0,9.264748808719329,0.0,9.714098443193347,0.0,6.988972011843035,0.0,23.356326902369474,0.0,18.79035970527832,0.0,1550.0,73.0,536,0.8028466367043195,0.8028466367043195,42.0
