model,substation,n_runs,train_r2,train_r2_std,val_r2,val_r2_std,test_r2,test_r2_std,test_rmse,test_rmse_std,test_mae,test_mae_std,train_rmse,train_rmse_std,train_mae,train_mae_std,val_rmse,val_rmse_std,val_mae,val_mae_std,train_n,val_n,test_n,test_r2_min,test_r2_max,best_seed
CNN+BiGRU+BiLSTM,Mirpur,1.0,0.8104750699282064,0.0,0.6813223666467433,0.0,0.7346908951667965,0.0,9.687897400376603,0.0,7.496149227089442,0.0,10.367484924773324,0.0,8.165542637637035,0.0,13.31554395830962,0.0,10.228454557976448,0.0,1557.0,197.0,528,0.7346908951667965,0.7346908951667965,42.0
Naive-Persistence,Mirpur,,,,,,0.7510901575268818,,9.383708076913265,,7.125,,,,,,,,,,,,528,,,
Naive-Seasonal7,Mirpur,,,,,,0.022115717031908066,,18.5993251445673,,13.111742424242424,,,,,,,,,,,,528,,,
BiLSTM,Narinda,1.0,0.7733017441046498,0.0,0.4778395165983642,0.0,0.7190210178700839,0.0,7.556216285221469,0.0,6.030397195890268,0.0,7.798095647711245,0.0,5.920048621846476,0.0,10.195412501107468,0.0,7.764351136292222,0.0,1559.0,197.0,536,0.7190210178700839,0.7190210178700839,42.0
BiGRU,Narinda,1.0,0.8243806246703568,0.0,0.5187260815145198,0.0,0.8143417630260643,0.0,6.142208773545516,0.0,4.700641587314043,0.0,6.863579719472883,0.0,4.976260607554371,0.0,9.788112770689855,0.0,7.206832345650735,0.0,1559.0,197.0,536,0.8143417630260643,0.8143417630260643,42.0
BiLSTM+BiGRU,Narinda,1.0,0.8259257384359658,0.0,0.5001155889457713,0.0,0.8055305870678121,0.0,6.286271218994198,0.0,4.892402155133687,0.0,6.8333198446520855,0.0,4.949571862689687,0.0,9.975567178699976,0.0,7.306296509326563,0.0,1559.0,197.0,536,0.8055305870678121,0.8055305870678121,42.0
BiGRU+BiLSTM,Narinda,1.0,0.8127773009151544,0.0,0.49113889749866557,0.0,0.7821541521759497,0.0,6.65337659802004,0.0,5.1746385779315185,0.0,7.086694631682968,0.0,5.191145569479871,0.0,10.064736937452816,0.0,7.464470131984595,0.0,1559.0,197.0,536,0.7821541521759497,0.7821541521759497,42.0
CNN+BiLSTM+BiGRU,Narinda,1.0,0.8526197367332221,0.0,0.4925109674765621,0.0,0.8256132692123155,0.0,5.952839606079981,0.0,4.537278157353067,0.0,6.28758880866302,0.0,4.506129851402993,0.0,10.051158728454784,0.0,7.424667132384886,0.0,1559.0,197.0,536,0.8256132692123155,0.8256132692123155,42.0
CNN+BiGRU+BiLSTM,Narinda,1.0,0.83834584628173,0.0,0.48835918860834737,0.0,0.8204953508695034,0.0,6.039560187333797,0.0,4.603407024246043,0.0,6.585032192435702,0.0,4.714970429884443,0.0,10.092189355907513,0.0,7.3243055673609225,0.0,1559.0,197.0,536,0.8204953508695034,0.8204953508695034,42.0
Naive-Persistence,Narinda,,,,,,0.35899033464009666,,11.412998284883173,,8.095149253731343,,,,,,,,,,,,536,,,
Naive-Seasonal7,Narinda,,,,,,0.14945658475154844,,13.146668325461835,,9.098880597014926,,,,,,,,,,,,536,,,
BiLSTM,Savar,1.0,0.732578016600993,0.0,0.5510872310477146,0.0,0.6793064802171613,0.0,21.751861922250846,0.0,16.785101389596722,0.0,17.495639322294625,0.0,13.25478460607195,0.0,20.501471720377655,0.0,15.0644065435609,0.0,1547.0,197.0,533,0.6793064802171613,0.6793064802171613,42.0
BiGRU,Savar,1.0,0.7996662232765268,0.0,0.5027110702284057,0.0,0.6911598256166263,0.0,21.346085278098997,0.0,16.621707363120287,0.0,15.142875561512021,0.0,11.350308029457452,0.0,21.5778641647171,0.0,16.491690861956435,0.0,1547.0,197.0,533,0.6911598256166263,0.6911598256166263,42.0
BiLSTM+BiGRU,Savar,1.0,0.7603620949115921,0.0,0.5749228032694118,0.0,0.7063396546453675,0.0,20.81488415694628,0.0,16.16954593338954,0.0,16.561856653871278,0.0,12.577080659336547,0.0,19.949773213381302,0.0,14.766403274377296,0.0,1547.0,197.0,533,0.7063396546453675,0.7063396546453675,42.0
BiGRU+BiLSTM,Savar,1.0,0.739280811584178,0.0,0.5801119762352227,0.0,0.6924918772926286,0.0,21.3000018716354,0.0,16.074597837843605,0.0,17.274988304808122,0.0,13.161732204011647,0.0,19.827629860060625,0.0,14.497935315079344,0.0,1547.0,197.0,533,0.6924918772926286,0.6924918772926286,42.0
CNN+BiLSTM+BiGRU,Savar,1.0,0.7402768784699048,0.0,0.553779277232147,0.0,0.7013197318744576,0.0,20.992038387164857,0.0,16.07271792548404,0.0,17.241957536962556,0.0,13.331567184542374,0.0,20.43990753244441,0.0,15.178808276783396,0.0,1547.0,197.0,533,0.7013197318744576,0.7013197318744576,42.0
CNN+BiGRU+BiLSTM,Savar,1.0,0.6160606789148276,0.0,0.5932997366030297,0.0,0.7148577849007431,0.0,20.51077663563716,0.0,16.444468455647904,0.0,20.963440518686046,0.0,16.954156417558263,0.0,19.513774677354558,0.0,14.333936773387313,0.0,1547.0,197.0,533,0.7148577849007431,0.7148577849007431,42.0
Naive-Persistence,Savar,,,,,,0.46939080480090967,,27.97942154546376,,20.652908067542214,,,,,,,,,,,,533,,,
Naive-Seasonal7,Savar,,,,,,0.0024604863499991803,,38.363338991954706,,24.474671669793622,,,,,,,,,,,,533,,,
BiLSTM,Shyampur,1.0,0.6920566889692558,0.0,0.5982104111886652,0.0,0.7164764350198825,0.0,17.456708304008014,0.0,13.052189124495994,0.0,15.64706179206237,0.0,12.596234620263575,0.0,17.98082972958417,0.0,13.674505822191737,0.0,1506.0,196.0,521,0.7164764350198825,0.7164764350198825,42.0
BiGRU,Shyampur,1.0,0.776244061712309,0.0,0.7006588315802462,0.0,0.7596388485009553,0.0,16.073109837446662,0.0,11.67803794178361,0.0,13.337815177714385,0.0,10.2821560325807,0.0,15.520067783061803,0.0,11.687007892180464,0.0,1506.0,196.0,521,0.7596388485009553,0.7596388485009553,42.0
BiLSTM+BiGRU,Shyampur,1.0,0.7274456781041897,0.0,0.6923553366580848,0.0,0.7229703423930585,0.0,17.255633466828854,0.0,12.761452547255153,0.0,14.72054694641288,0.0,11.631056366491208,0.0,15.733852767475216,0.0,12.053922170356525,0.0,1506.0,196.0,521,0.7229703423930585,0.7229703423930585,42.0
BiGRU+BiLSTM,Shyampur,1.0,0.7186283619145541,0.0,0.6599192772358987,0.0,0.7124740272781429,0.0,17.579491767921997,0.0,12.981997494953838,0.0,14.956761539358045,0.0,11.75377066530119,0.0,16.542509640354282,0.0,12.534586927819312,0.0,1506.0,196.0,521,0.7124740272781429,0.7124740272781429,42.0
CNN+BiLSTM+BiGRU,Shyampur,1.0,0.7670174252096507,0.0,0.6598272594439367,0.0,0.7543303933286791,0.0,16.249630492386,0.0,11.66438203418724,0.0,13.61003150095243,0.0,10.591122110561427,0.0,16.544747494714272,0.0,12.12527485903885,0.0,1506.0,196.0,521,0.7543303933286791,0.7543303933286791,42.0
CNN+BiGRU+BiLSTM,Shyampur,1.0,0.762535767472332,0.0,0.6735867828178607,0.0,0.7621338267685527,0.0,15.98947180109706,0.0,11.495529032427383,0.0,13.740309404998365,0.0,10.820477806291535,0.0,16.206687457051537,0.0,12.085720300808246,0.0,1506.0,196.0,521,0.7621338267685527,0.7621338267685527,42.0
Naive-Persistence,Shyampur,,,,,,0.6573490733617191,,19.190828743685923,,14.145873320537428,,,,,,,,,,,,521,,,
Naive-Seasonal7,Shyampur,,,,,,-0.31044541278767324,,37.529885724004195,,23.293666026871403,,,,,,,,,,,,521,,,
BiLSTM,Ullon,1.0,0.5862027693230991,0.0,0.5480292685963627,0.0,0.6221400216039603,0.0,5.980914607593637,0.0,4.454710159122439,0.0,10.356781702994889,0.0,5.004289129445179,0.0,7.1576043418684785,0.0,5.11876283962261,0.0,1546.0,197.0,536,0.6221400216039603,0.6221400216039603,42.0
BiGRU,Ullon,1.0,0.5955203462852182,0.0,0.5723926965233035,0.0,0.6456762103337227,0.0,5.79165001995791,0.0,4.288189925370706,0.0,10.239514674333934,0.0,4.932901551070803,0.0,6.962017154056882,0.0,5.024134332117094,0.0,1546.0,197.0,536,0.6456762103337227,0.6456762103337227,42.0
BiLSTM+BiGRU,Ullon,1.0,0.5195082250399391,0.0,0.5091194882648258,0.0,0.5670396099908224,0.0,6.402155777203105,0.0,5.040951339540474,0.0,11.160252264060945,0.0,6.316409270177667,0.0,7.459340417115344,0.0,6.143521498875886,0.0,1546.0,197.0,536,0.5670396099908224,0.5670396099908224,42.0
BiGRU+BiLSTM,Ullon,1.0,0.5905023811319217,0.0,0.5512411629841234,0.0,0.6316193898408542,0.0,5.9054165327636445,0.0,4.358862058157237,0.0,10.302834483809528,0.0,5.008370744087964,0.0,7.1321265215136895,0.0,5.1467892084357745,0.0,1546.0,197.0,536,0.6316193898408542,0.6316193898408542,42.0
CNN+BiLSTM+BiGRU,Ullon,1.0,0.5934113065440235,0.0,0.5572455209605384,0.0,0.5938717405713558,0.0,6.200600615108962,0.0,4.70466969846594,0.0,10.266175429007571,0.0,4.994212640922943,0.0,7.084252197352789,0.0,5.119257092704327,0.0,1546.0,197.0,536,0.5938717405713558,0.5938717405713558,42.0
CNN+BiGRU+BiLSTM,Ullon,1.0,0.5598421537347145,0.0,0.5109492253971587,0.0,0.49886737397198644,0.0,6.8877677278275895,0.0,5.3138953333973475,0.0,10.681574072663393,0.0,5.54769429781304,0.0,7.445425244016095,0.0,5.388393324276217,0.0,1546.0,197.0,536,0.49886737397198644,0.49886737397198644,42.0
Naive-Persistence,Ullon,,,,,,0.7693240488102588,,4.67308105720029,,3.0690298507462686,,,,,,,,,,,,536,,,
Naive-Seasonal7,Ullon,,,,,,0.07534761901943043,,9.35602557458234,,6.815298507462686,,,,,,,,,,,,536,,,
BiLSTM,Uttara,1.0,0.8697034988615057,0.0,0.5740053439203052,0.0,0.7830031153652512,0.0,7.509595757376071,0.0,5.6898756156558745,0.0,6.493685521510885,0.0,4.675952518361818,0.0,9.583974447811649,0.0,7.266201831763087,0.0,1544.0,197.0,536,0.7830031153652512,0.7830031153652512,42.0
BiGRU,Uttara,1.0,0.8793096263366695,0.0,0.6411019738973918,0.0,0.8206965209291531,0.0,6.826281101591152,0.0,5.174263572174666,0.0,6.249729083282597,0.0,4.402436878824596,0.0,8.796888887758755,0.0,6.609544414574572,0.0,1544.0,197.0,536,0.8206965209291531,0.8206965209291531,42.0
BiLSTM+BiGRU,Uttara,1.0,0.8739196831970677,0.0,0.5891492244245617,0.0,0.7974406666794086,0.0,7.255476495950846,0.0,5.5197359294394275,0.0,6.387758984344751,0.0,4.555826230080836,0.0,9.41208037450109,0.0,7.018171991738419,0.0,1544.0,197.0,536,0.7974406666794086,0.7974406666794086,42.0
BiGRU+BiLSTM,Uttara,1.0,0.8754003611416189,0.0,0.6151084968331476,0.0,0.8088901065926248,0.0,7.0474401316660416,0.0,5.352950239636614,0.0,6.350139522832334,0.0,4.5214490424308424,0.0,9.10988161984707,0.0,6.838571103844545,0.0,1544.0,197.0,536,0.8088901065926248,0.8088901065926248,42.0
CNN+BiLSTM+BiGRU,Uttara,1.0,0.8580792548550679,0.0,0.6091946179952292,0.0,0.7770942832614487,0.0,7.611152319849312,0.0,5.69950019701509,0.0,6.7771612209240315,0.0,4.946174273238049,0.0,9.179601740187044,0.0,7.000455318299041,0.0,1544.0,197.0,536,0.7770942832614487,0.7770942832614487,42.0
CNN+BiGRU+BiLSTM,Uttara,1.0,0.8569079512947646,0.0,0.6015032897093526,0.0,0.7801915696455893,0.0,7.558088668275766,0.0,5.687985234132119,0.0,6.80507046543398,0.0,5.006261789731613,0.0,9.269492168607181,0.0,7.033791375399241,0.0,1544.0,197.0,536,0.7801915696455893,0.7801915696455893,42.0
Naive-Persistence,Uttara,,,,,,0.7773763180895784,,7.606335733030859,,5.875,,,,,,,,,,,,536,,,
Naive-Seasonal7,Uttara,,,,,,0.13065150701786643,,15.030961516299536,,10.943097014925373,,,,,,,,,,,,536,,,
BiLSTM,Uttara New,1.0,0.8131466997706486,0.0,0.5312430976617233,0.0,0.8345343123795607,0.0,6.5711106194490165,0.0,4.45563897030572,0.0,6.043823906645914,0.0,3.548587875182001,0.0,7.4838227723209325,0.0,5.603471562998484,0.0,1505.0,196.0,531,0.8345343123795607,0.8345343123795607,42.0
BiGRU,Uttara New,1.0,0.8153040753210639,0.0,0.5341740116120351,0.0,0.8319543919094026,0.0,6.622140446846712,0.0,4.518874600757957,0.0,6.008832143906835,0.0,3.5220400130651215,0.0,7.460389693820686,0.0,5.569875031657974,0.0,1505.0,196.0,531,0.8319543919094026,0.8319543919094026,42.0
BiLSTM+BiGRU,Uttara New,1.0,0.8150408071206467,0.0,0.5401816819470933,0.0,0.8372210408099011,0.0,6.517543488253316,0.0,4.40753444136929,0.0,6.013113156336689,0.0,3.4826079107493255,0.0,7.412125953965759,0.0,5.574015925991899,0.0,1505.0,196.0,531,0.8372210408099011,0.8372210408099011,42.0
BiGRU+BiLSTM,Uttara New,1.0,0.8129701023496472,0.0,0.5223614518723495,0.0,0.829932696101405,0.0,6.661855640054857,0.0,4.535284437421155,0.0,6.0466792794100055,0.0,3.5515579731023785,0.0,7.554388945630038,0.0,5.6861571312619725,0.0,1505.0,196.0,531,0.829932696101405,0.829932696101405,42.0
CNN+BiLSTM+BiGRU,Uttara New,1.0,0.8333374195630027,0.0,0.5182311722863885,0.0,0.8262959116854449,0.0,6.732708693804503,0.0,4.5329320107819955,0.0,5.707954028301169,0.0,3.229170379762336,0.0,7.58698113905122,0.0,5.7095244545048605,0.0,1505.0,196.0,531,0.8262959116854449,0.8262959116854449,42.0
CNN+BiGRU+BiLSTM,Uttara New,1.0,0.823387405385726,0.0,0.4328499987875676,0.0,0.800470807178479,0.0,7.215858808807563,0.0,4.886513806334267,0.0,5.875870980500549,0.0,3.4616357793141623,0.0,8.23187230795507,0.0,6.254791619151983,0.0,1505.0,196.0,531,0.800470807178479,0.800470807178479,42.0
Naive-Persistence,Uttara New,,,,,,0.8329272481928738,,6.602944044628667,,3.7796610169491527,,,,,,,,,,,,531,,,
Naive-Seasonal7,Uttara New,,,,,,0.5024054068610779,,11.39521779961072,,7.997175141242938,,,,,,,,,,,,531,,,
