substation,model,horizon,n,r2,rmse,mae,mape_pct
Narinda,BiGRU,1,36,0.7871518686042067,6.081663664773031,4.2940392366920905,7.84196760498756
Narinda,BiGRU,2,37,0.7014395032143695,8.007459684023916,5.997877414363462,11.352157974693226
Narinda,BiGRU,3,38,0.4792710756658989,5.681347598505478,5.086282058864048,11.043908538345178
Narinda,BiGRU,4,37,0.6372238154475556,7.4682961349122206,5.403711190346527,8.716916344079793
Narinda,BiGRU,5,38,0.7008503241163402,6.577411847933488,5.134776398147407,7.938308573049421
Narinda,BiGRU,6,38,0.649410638922593,7.564225468321356,5.396027814106722,8.20686088100501
Narinda,BiGRU,7,37,0.6730076287474562,7.338521642977815,6.074142004036017,9.98258709692146
Narinda,BiGRU,8,37,0.6612124089453959,9.025579908751846,6.950112396398106,12.659362195235346
Narinda,BiGRU,9,38,0.6806202992589188,8.133409489878106,6.773557231859549,11.432466768095077
Narinda,BiGRU,10,38,-0.38348544483910185,8.509391889068718,7.040607141919042,15.71272430452541
Narinda,BiGRU,11,37,0.4855980607907525,9.012541671294363,7.248693576586005,12.285150731951425
Narinda,BiGRU,12,38,0.5273751964223754,8.982244694877263,7.105865302544675,12.15375721935744
Narinda,BiGRU,13,37,0.5287095312105232,8.643944992084057,6.801976930601774,11.182671444757831
Narinda,BiGRU,14,37,0.48752739948680235,9.486396757859815,7.337096520271656,12.109246688281857
