substation,official_billing_window_slots,official_billing_window_label,dr_activation_window_slots,dr_activation_window_label,dr_activation_window_source,mu_peak,mu_off,mu_source,applies_to,is_replacement_tariff,id
Dhanmondi,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]","17:00-23:00 (BERC gazette, footnote 6)","[24, 25, 26, 27, 28]","12:00-14:30 (adaptive local, stress-day derived)",GenTwin-SG adaptive local derivation,1.2,0.9,"BERC order 03 June 2026 (LT-class ratio); applies only within official_billing_window, to has_tou=True classes","ToU-billed tariff classes only (has_tou=True on TariffClass) - NOT LT-A residential or LT-D1 (Hospital, Educational), which have no gazette ToU row and are priced flat (mu=1.0) regardless of either window",False,TOU-Dhanmondi
Kalyanpur,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]","17:00-23:00 (BERC gazette, footnote 6)","[36, 37, 38, 39, 40, 41]","18:00-21:00 (adaptive local, stress-day derived)",GenTwin-SG adaptive local derivation,1.2,0.9,"BERC order 03 June 2026 (LT-class ratio); applies only within official_billing_window, to has_tou=True classes","ToU-billed tariff classes only (has_tou=True on TariffClass) - NOT LT-A residential or LT-D1 (Hospital, Educational), which have no gazette ToU row and are priced flat (mu=1.0) regardless of either window",False,TOU-Kalyanpur
