src_label,src,type,dst_label,dst,rank
Substation,Dhanmondi,HAS_TOU_WINDOW,TouWindow,TOU-Dhanmondi,
Substation,Kalyanpur,HAS_TOU_WINDOW,TouWindow,TOU-Kalyanpur,
Substation,Dhanmondi,CONNECTS,TieLine,TL-Dhanmondi-Kalyanpur,
TieLine,TL-Dhanmondi-Kalyanpur,CONNECTS,Substation,Kalyanpur,
Substation,Kalyanpur,CONNECTS,TieLine,TL-Kalyanpur-Dhanmondi,
TieLine,TL-Kalyanpur-Dhanmondi,CONNECTS,Substation,Dhanmondi,
Archetype,Res-A,SUBJECT_TO,TariffClass,LT-A,
Archetype,Res-B,SUBJECT_TO,TariffClass,LT-A,
Archetype,Res-C,SUBJECT_TO,TariffClass,LT-A,
Archetype,Commercial,SUBJECT_TO,TariffClass,LT-E,
Archetype,Industrial,SUBJECT_TO,TariffClass,LT-C1,
Archetype,Hospital,SUBJECT_TO,TariffClass,LT-D1,
Archetype,Educational,SUBJECT_TO,TariffClass,LT-D1,
Archetype,Government,SUBJECT_TO,TariffClass,LT-E,
DrAction,DR-KLNC0057-2026-07-02-32-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-32,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-33-Y,
DrAction,DR-KLNC0057-2026-07-02-33-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S33,
DrAction,DR-KLNC0057-2026-07-02-33-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-33,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-34-Y,
DrAction,DR-KLNC0057-2026-07-02-34-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S34,
DrAction,DR-KLNC0057-2026-07-02-34-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-34,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-35-Y,
DrAction,DR-KLNC0057-2026-07-02-35-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S35,
DrAction,DR-KLNC0057-2026-07-02-35-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-35,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-36-Y,
DrAction,DR-KLNC0057-2026-07-02-36-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S36,
DrAction,DR-KLNC0057-2026-07-02-36-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-36,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-37-Y,
DrAction,DR-KLNC0057-2026-07-02-37-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S37,
DrAction,DR-KLNC0057-2026-07-02-37-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-37,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-38-Y,
DrAction,DR-KLNC0057-2026-07-02-38-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S38,
DrAction,DR-KLNC0057-2026-07-02-38-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-38,
