consumer_id,date,substation,archetype,category,w_h,n_shift_slots,n_curtail_slots,energy_shifted_kwh,energy_curtailed_kwh,max_y,never_curtailed,never_shifted,participated,id
DHNC0040,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0040-2026-06-14
DHNC0041,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0041-2026-06-14
DHNC0042,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0042-2026-06-14
DHNC0043,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0043-2026-06-14
DHNC0044,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0044-2026-06-14
DHNC0045,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,5,0.0,378.6847662657831,0.4033189634141048,False,True,True,PS-DHNC0045-2026-06-14
DHNC0046,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0046-2026-06-14
DHNC0047,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0047-2026-06-14
DHNC0048,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0048-2026-06-14
DHNC0049,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0049-2026-06-14
DHNC0050,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0050-2026-06-14
DHNC0051,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,5,0.0,641.2096813613161,0.3455713517156301,False,True,True,PS-DHNC0051-2026-06-14
DHNC0052,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0052-2026-06-14
DHNC0053,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0053-2026-06-14
DHNC0054,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,2,0.0,396.9403200592241,0.3781775349548564,False,True,True,PS-DHNC0054-2026-06-14
DHNC0055,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0055-2026-06-14
DHNC0056,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0056-2026-06-14
DHNC0057,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0057-2026-06-14
DHNC0058,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0058-2026-06-14
DHNC0059,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0059-2026-06-14
DHNC0060,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0060-2026-06-14
DHNC0061,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,4,0.0,195.88600346606904,0.3682008005132278,False,True,True,PS-DHNC0061-2026-06-14
DHNC0062,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0062-2026-06-14
DHNC0063,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0063-2026-06-14
DHNC0064,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,3,0.0,160.37493611767758,0.3348758144912507,False,True,True,PS-DHNC0064-2026-06-14
DHNC0065,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0065-2026-06-14
