name,code,latitude,longitude,coords_provisional,feeder_voltage_kv,upstream_kv,p_max_kw,g_max_kw,e_max_kwh,b_max_kw,reserve_kwh,s0_kwh,c_producer_tk_per_kwh,t_pk_slots,t_pk_label,eta_ch,eta_dis,id
Dhanmondi,DHN,23.7465,90.376,True,33,132,200000.0,200000.0,40000.0,10000.0,8000.0,20000.0,8.39,"[24, 25, 26, 27, 28]",12:00-15:00 (observed midday peak),0.95,0.95,Dhanmondi
Kalyanpur,KLN,23.796,90.361,True,33,132,160000.0,160000.0,30000.0,8000.0,6000.0,15000.0,8.39,"[36, 37, 38, 39, 40, 41]",18:00-21:00 (observed evening peak),0.95,0.95,Kalyanpur
