var_type,value,unit,substation,date,slot_index,clock,equation,id
G,48232.56881591249,kW,Dhanmondi,2026-06-14,6,03:00,(17),DEC-DHN-2026-06-14-06-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,6,03:00,(17),DEC-DHN-2026-06-14-06-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,6,03:00,(17),DEC-DHN-2026-06-14-06-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,6,03:00,(17),DEC-DHN-2026-06-14-06-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,6,03:00,(17),DEC-DHN-2026-06-14-06-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,6,03:00,(17),DEC-DHN-2026-06-14-06-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,6,03:00,(17),DEC-DHN-2026-06-14-06-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,6,03:00,(17),DEC-DHN-2026-06-14-06-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,6,03:00,(17),DEC-DHN-2026-06-14-06-Z_curtailable
G,40998.7612197425,kW,Dhanmondi,2026-06-14,7,03:30,(17),DEC-DHN-2026-06-14-07-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,7,03:30,(17),DEC-DHN-2026-06-14-07-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,7,03:30,(17),DEC-DHN-2026-06-14-07-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,7,03:30,(17),DEC-DHN-2026-06-14-07-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,7,03:30,(17),DEC-DHN-2026-06-14-07-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,7,03:30,(17),DEC-DHN-2026-06-14-07-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,7,03:30,(17),DEC-DHN-2026-06-14-07-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,7,03:30,(17),DEC-DHN-2026-06-14-07-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,7,03:30,(17),DEC-DHN-2026-06-14-07-Z_curtailable
G,43740.80454845817,kW,Dhanmondi,2026-06-14,8,04:00,(17),DEC-DHN-2026-06-14-08-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,8,04:00,(17),DEC-DHN-2026-06-14-08-B_ch
B_dis,10000.0,kW,Dhanmondi,2026-06-14,8,04:00,(17),DEC-DHN-2026-06-14-08-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,8,04:00,(17),DEC-DHN-2026-06-14-08-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,8,04:00,(17),DEC-DHN-2026-06-14-08-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,8,04:00,(17),DEC-DHN-2026-06-14-08-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,8,04:00,(17),DEC-DHN-2026-06-14-08-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,8,04:00,(17),DEC-DHN-2026-06-14-08-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,8,04:00,(17),DEC-DHN-2026-06-14-08-Z_curtailable
G,43321.78143443401,kW,Dhanmondi,2026-06-14,9,04:30,(17),DEC-DHN-2026-06-14-09-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,9,04:30,(17),DEC-DHN-2026-06-14-09-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,9,04:30,(17),DEC-DHN-2026-06-14-09-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,9,04:30,(17),DEC-DHN-2026-06-14-09-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,9,04:30,(17),DEC-DHN-2026-06-14-09-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,9,04:30,(17),DEC-DHN-2026-06-14-09-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,9,04:30,(17),DEC-DHN-2026-06-14-09-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,9,04:30,(17),DEC-DHN-2026-06-14-09-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,9,04:30,(17),DEC-DHN-2026-06-14-09-Z_curtailable
G,64486.09954357554,kW,Dhanmondi,2026-06-14,10,05:00,(17),DEC-DHN-2026-06-14-10-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,10,05:00,(17),DEC-DHN-2026-06-14-10-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,10,05:00,(17),DEC-DHN-2026-06-14-10-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,10,05:00,(17),DEC-DHN-2026-06-14-10-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,10,05:00,(17),DEC-DHN-2026-06-14-10-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,10,05:00,(17),DEC-DHN-2026-06-14-10-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,10,05:00,(17),DEC-DHN-2026-06-14-10-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,10,05:00,(17),DEC-DHN-2026-06-14-10-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,10,05:00,(17),DEC-DHN-2026-06-14-10-Z_curtailable
G,60446.17637396634,kW,Dhanmondi,2026-06-14,11,05:30,(17),DEC-DHN-2026-06-14-11-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,11,05:30,(17),DEC-DHN-2026-06-14-11-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,11,05:30,(17),DEC-DHN-2026-06-14-11-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,11,05:30,(17),DEC-DHN-2026-06-14-11-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,11,05:30,(17),DEC-DHN-2026-06-14-11-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,11,05:30,(17),DEC-DHN-2026-06-14-11-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,11,05:30,(17),DEC-DHN-2026-06-14-11-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,11,05:30,(17),DEC-DHN-2026-06-14-11-Z_shiftable
