date,slot_index,clock,delta_h,id
2026-07-02,21,10:30,0.5,2026-07-02-S21
2026-07-02,22,11:00,0.5,2026-07-02-S22
2026-07-02,23,11:30,0.5,2026-07-02-S23
2026-07-02,24,12:00,0.5,2026-07-02-S24
2026-07-02,25,12:30,0.5,2026-07-02-S25
2026-07-02,26,13:00,0.5,2026-07-02-S26
2026-07-02,27,13:30,0.5,2026-07-02-S27
2026-07-02,28,14:00,0.5,2026-07-02-S28
2026-07-02,29,14:30,0.5,2026-07-02-S29
2026-07-02,30,15:00,0.5,2026-07-02-S30
2026-07-02,31,15:30,0.5,2026-07-02-S31
2026-07-02,32,16:00,0.5,2026-07-02-S32
2026-07-02,33,16:30,0.5,2026-07-02-S33
2026-07-02,34,17:00,0.5,2026-07-02-S34
2026-07-02,35,17:30,0.5,2026-07-02-S35
2026-07-02,36,18:00,0.5,2026-07-02-S36
2026-07-02,37,18:30,0.5,2026-07-02-S37
2026-07-02,38,19:00,0.5,2026-07-02-S38
2026-07-02,39,19:30,0.5,2026-07-02-S39
2026-07-02,40,20:00,0.5,2026-07-02-S40
2026-07-02,41,20:30,0.5,2026-07-02-S41
2026-07-02,42,21:00,0.5,2026-07-02-S42
2026-07-02,43,21:30,0.5,2026-07-02-S43
2026-07-02,44,22:00,0.5,2026-07-02-S44
2026-07-02,45,22:30,0.5,2026-07-02-S45
2026-07-02,46,23:00,0.5,2026-07-02-S46
2026-07-02,47,23:30,0.5,2026-07-02-S47
